time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006780102478331,0.0092983245849609,0.0100135803222656,0.0100135803222656,0.0100135803222656,0.0063180923461914,0.0100135803222656,0.0088214874267578,0.0109434127807617,0.0,0.0,0.0,0.0,0.0038410859371857,0.0258922576904296,0.0042915344238281,0.496,1.36,0.0,0.0,117.192,8.264,7.736,0.0,17665.152,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062200236203048,0.0085830688476562,0.00762939453125,0.00762939453125,0.0073909759521484,0.0,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0065962473551432,0.0,0.00762939453125,0.496,1.424,0.0,0.0,121.16,0.0,0.0,0.0,10.584,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061563926168007,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0154972076416015,0.0064849853515625,0.0154972076416015,0.0084877014160156,0.0113487243652343,0.0,0.0,0.0,0.0,0.0057816505432128,0.0216484069824218,0.007939338684082,0.496,1.424,0.0,0.0,118.448,3.744,4.232,0.0,29.216,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068448447241571,0.0095367431640625,0.0081062316894531,0.0081062316894531,0.0071525573730468,0.0066757202148437,0.0071525573730468,0.0091075897216796,0.0123977661132812,0.0,0.0,0.0,0.0,0.0038580771503612,0.0244140625,0.0045299530029296,0.496,1.424,0.0,0.0,123.64,3.744,4.232,0.0,15775.552,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061609258699179,0.0083446502685546,0.00762939453125,0.00762939453125,0.0138282775878906,0.0060876210530598,0.0138282775878906,0.0085830688476562,0.0109036763509114,0.0,0.0,0.0,0.0,0.0039308758105261,0.0276565551757812,0.0047683715820312,0.496,1.424,0.0,0.0,117.192,12.008,11.968,0.0,2670.976,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060577297685158,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.009775161743164,0.006103515625,0.009775161743164,0.0079631805419921,0.0117301940917968,0.0,0.0,0.0,0.0,0.0069141387939453,0.0227928161621093,0.0069141387939453,0.496,1.36,0.0,0.0,114.712,3.744,4.232,0.0,2.424,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058317184448242,0.0078678131103515,0.0100135803222656,0.0100135803222656,0.0083446502685546,0.0059843063354492,0.0083446502685546,0.007939338684082,0.0105857849121093,0.0,0.0,0.0,0.0,0.0047683715820312,0.0256299972534179,0.0065326690673828,0.496,1.424,0.0,0.0,112.0,8.264,7.736,0.0,93.632,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061988830566406,0.0081062316894531,0.00762939453125,0.00762939453125,0.0081062316894531,0.0,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0046888987223307,0.0,0.0065803527832031,0.496,1.424,0.0,0.0,118.32,0.0,0.0,0.0,128.808,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059794430709003,0.0078678131103515,0.0064373016357421,0.0064373016357421,0.0073909759521484,0.0055432319641113,0.0073909759521484,0.0057220458984375,0.0133117039998372,0.0,0.0,0.0,0.0,0.0069141387939453,0.0245571136474609,0.0084400177001953,0.496,1.392,0.0,0.0,113.256,4.272,3.704,0.0,23.16,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060126556092826,0.0078678131103515,0.0095367431640625,0.0095367431640625,0.0133514404296875,0.0070929527282714,0.0133514404296875,0.009012222290039,0.0112454096476236,0.0,0.0,0.0,0.0,0.0064373016357421,0.0200271606445312,0.0064373016357421,0.496,1.36,0.0,0.0,113.256,4.272,3.704,0.0,1.192,0
