time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
158,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061847195766939,0.0085830688476562,0.00762939453125,0.00762939453125,0.0065803527832031,0.0041181390935724,0.0119209289550781,0.0119209289550781,0.0052452087402343,0.0095844268798828,0.0106334686279296,0.0,0.0,0.0199794769287109,0.496,1.424,0.0,0.0,115.92,3.744,4.232,0.0,0.0,679.024,1
159,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061752772567295,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0061988830566406,0.0041048210787485,0.0116825103759765,0.0116825103759765,0.0050067901611328,0.0081062316894531,0.0113964080810546,0.0,0.0,0.0213146209716796,0.496,1.424,0.0,0.0,115.92,3.744,4.232,0.0,0.0,862.856,1
160,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062578975564182,0.0085830688476562,0.00762939453125,0.00762939453125,0.0062227249145507,0.0041398135098544,0.0102519989013671,0.0102519989013671,0.0047683715820312,0.008702278137207,0.0108003616333007,0.0,0.0,0.0267505645751953,0.496,1.424,0.0,0.0,115.52,8.264,7.736,0.0,0.0,1813.752,1
161,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062178616500019,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0058174133300781,0.0043890692970969,0.0090599060058593,0.0090599060058593,0.0058174133300781,0.0072479248046875,0.0122547149658203,0.0,0.0,0.0226974487304687,0.496,1.424,0.0,0.0,114.504,3.744,4.232,0.0,0.0,406.768,1
162,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062320955950229,0.0083446502685546,0.00762939453125,0.00762939453125,0.0059127807617187,0.0042987592292554,0.0095367431640625,0.0095367431640625,0.0056028366088867,0.0075817108154296,0.0108718872070312,0.0,0.0,0.0206470489501953,0.496,1.424,0.0,0.0,114.472,3.744,4.232,0.0,0.0,668.192,1
163,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066175982726747,0.0088214874267578,0.0081062316894531,0.0081062316894531,0.005960464477539,0.0042342179372222,0.0095367431640625,0.0095367431640625,0.0050067901611328,0.0086069107055664,0.010848045349121,0.0092983245849609,0.0092983245849609,0.0262260437011718,0.496,1.424,0.0,3.312,114.568,8.264,7.736,1067.009687423706,1067.009687423706,18098.424,1
164,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080025196075439,0.0104904174804687,0.0164508819580078,0.0164508819580078,0.0,0.0042059988022751,0.0109672546386718,0.0109672546386718,0.0050067901611328,0.0,0.0,0.0047683715820312,0.0047683715820312,0.0,0.496,1.424,3.28,0.496,116.632,0.0,0.0,1067.0065879821775,1067.0065879821775,48159.52,1
165,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073661898622418,0.009775161743164,0.0128746032714843,0.0128746032714843,0.0,0.0041678506646972,0.0100135803222656,0.0100135803222656,0.0047683715820312,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0,0.496,1.424,0.848,0.784,118.448,0.0,0.0,0.0,0.0,28797.432,1
166,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073071753624642,0.009775161743164,0.0100135803222656,0.0100135803222656,0.0,0.0042009141080269,0.0133514404296875,0.0133514404296875,0.0050067901611328,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,118.448,0.0,0.0,1067.01397895813,1067.01397895813,38191.896,1
167,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074724159618415,0.0102519989013671,0.009775161743164,0.009775161743164,0.00762939453125,0.0041558192326472,0.0233650207519531,0.0233650207519531,0.0050067901611328,0.0098705291748046,0.011444091796875,0.0,0.0,0.0216484069824218,0.496,1.424,0.496,0.0,118.448,3.744,4.232,0.0,0.0,25626.92,1
168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073399709824898,0.0095367431640625,0.0100135803222656,0.0100135803222656,0.0062465667724609,0.0041227271086978,0.0193119049072265,0.0193119049072265,0.0050067901611328,0.0084400177001953,0.0105857849121093,0.0,0.0,0.0199317932128906,0.496,1.424,0.0,0.0,117.192,3.744,4.232,0.0,0.0,21604.96,1
169,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075522939957196,0.009775161743164,0.0109672546386718,0.0109672546386718,0.0059843063354492,0.0040971782774753,0.0154972076416015,0.0154972076416015,0.0047683715820312,0.0076055526733398,0.0109672546386718,0.0,0.0,0.0282526016235351,0.496,1.424,0.0,0.0,117.192,8.264,7.736,0.0,0.0,25807.552,1
170,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074241884905307,0.0102519989013671,0.0100135803222656,0.0100135803222656,0.0,0.004061946162471,0.0150203704833984,0.0150203704833984,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,116.424,0.0,0.0,0.0,0.0,619.088,1
171,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072320302327473,0.009775161743164,0.0100135803222656,0.0100135803222656,0.0,0.0040423527624962,0.0138282775878906,0.0138282775878906,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,114.664,0.0,0.0,0.0,0.0,8386.392,1
172,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062237924604273,0.0085830688476562,0.0100135803222656,0.0100135803222656,0.0,0.004097931367114,0.0083446502685546,0.0083446502685546,0.0050067901611328,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,117.192,0.0,0.0,0.0,0.0,1455.0,1
173,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061750411987304,0.0083684921264648,0.0107288360595703,0.0107288360595703,0.0073432922363281,0.0,0.0102519989013671,0.0102519989013671,0.0,0.01068115234375,0.0127315521240234,0.0,0.0,0.0238418579101562,0.496,1.392,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0.0,1
174,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061976968945555,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0056624412536621,0.0092983245849609,0.0073909759521484,0.0073909759521484,0.0092983245849609,0.0062942504882812,0.0110467274983723,0.0116825103759765,0.0116825103759765,0.0207424163818359,0.496,1.36,0.0,3.312,113.256,4.272,3.704,1067.0108795166016,1067.0108795166016,1.192,1
175,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063898551523388,0.0085830688476562,0.00762939453125,0.00762939453125,0.0064611434936523,0.0073909759521484,0.0092983245849609,0.0092983245849609,0.0073909759521484,0.0088453292846679,0.0108242034912109,0.0064373016357421,0.0064373016357421,0.0281572341918945,0.496,1.36,3.28,0.496,113.256,8.264,7.736,1067.0177936553955,1067.0177936553955,1.192,1
176,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062143031637466,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.00762939453125,0.00762939453125,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.848,0.0,113.256,0.0,0.0,0.0,0.0,1.192,1
