time_seconds,a1_retransmissions_ul_count,a1_packet_loss_ul_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0067097800118582,0.0095367431640625,0.0090599060058593,0.0090599060058593,0.0121593475341796,0.0038970359982134,0.0121593475341796,0.006866455078125,0.0045299530029296,0.0084400177001953,0.0144243240356445,0.0114917755126953,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0210762023925781,0.496,1.36,0.0,1.696,1.696,3.744,4.232,127.576,0.0,16564.128,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065505504608154,0.0088214874267578,0.0104904174804687,0.0104904174804687,0.0100135803222656,0.0,0.0100135803222656,0.0064849853515625,0.0,0.0087261199951171,0.0144243240356445,0.0111103057861328,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0195026397705078,0.496,1.424,0.0,1.696,1.696,3.744,4.232,112.0,0.0,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061751598149389,0.0083446502685546,0.00762939453125,0.00762939453125,0.0131130218505859,0.0069141387939453,0.0131130218505859,0.0061750411987304,0.0069141387939453,0.0083446502685546,0.0144243240356445,0.0104665756225585,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0252962112426757,0.496,1.36,0.0,1.696,1.696,8.264,7.736,113.256,0.0,1.192,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060090971230274,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0081062316894531,0.0085830688476562,0.0081062316894531,0.0,0.0085830688476562,0.0,0.0144243240356445,0.0,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0,0.496,1.36,0.0,1.696,1.696,0.0,0.0,113.256,0.0,1.192,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061502504111522,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0123977661132812,0.0045299530029296,0.0123977661132812,0.0,0.0045299530029296,0.0,0.0144243240356445,0.0,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0,0.496,1.36,0.0,1.696,1.696,0.0,0.0,113.256,0.0,1.192,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061011314392089,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0140666961669921,0.0,0.0140666961669921,0.0,0.0,0.0,0.0144243240356445,0.0,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0,0.496,1.36,0.0,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063240528106689,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0100135803222656,0.0,0.0100135803222656,0.0074386596679687,0.0,0.0088214874267578,0.0144243240356445,0.0127792358398437,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0247478485107421,0.496,1.36,0.0,1.696,1.696,3.744,4.232,112.0,0.0,0.0,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060272216796875,0.0083684921264648,0.0069141387939453,0.0069141387939453,0.0078678131103515,0.0,0.0078678131103515,0.0062465667724609,0.0,0.0077724456787109,0.0144243240356445,0.0104427337646484,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0185012817382812,0.496,1.36,0.0,1.696,1.696,3.744,4.232,112.0,0.0,0.0,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.006190538406372,0.0081062316894531,0.009775161743164,0.009775161743164,0.0152587890625,0.0,0.0152587890625,0.0060796737670898,0.0,0.0084400177001953,0.0144243240356445,0.009918212890625,0.0157356262207031,0.0175714492797851,0.0201225280761718,0.0231504440307617,0.496,1.36,0.0,1.696,1.696,8.264,7.736,112.0,0.0,0.0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.006377106845969,0.0087976455688476,0.00762939453125,0.00762939453125,0.0066757202148437,0.0066757202148437,0.0066757202148437,0.0,0.008392333984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,118.448,0.0,30.24,0
