time_seconds,a1_retransmissions_ul_count,a1_packet_loss_ul_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063756212073179,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0085830688476562,0.0,0.0085830688476562,0.0,0.0,0.0066757202148437,0.00762939453125,0.00762939453125,0.0,0.0079154968261718,0.0118255615234375,0.0221729278564453,0.496,1.36,0.0,0.0,0.0,3.744,4.232,113.256,0.0,1.192,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063602011002118,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0095367431640625,0.0,0.0095367431640625,0.0,0.0,0.0064849853515625,0.0121593475341796,0.0121593475341796,0.0,0.0083684921264648,0.0104904174804687,0.0236272811889648,0.496,1.36,0.0,0.0,0.0,8.264,7.736,113.256,0.0,1.192,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0068724734111897,0.0098943710327148,0.0073909759521484,0.0073909759521484,0.0039423958827165,0.0,0.0047683715820312,0.0,0.0,0.0,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,143.152,0.0,11401.048,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00633410553434,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0040365589989556,0.0,0.0049829483032226,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,117.192,0.0,782.88,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063657760620117,0.0088453292846679,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061249732971191,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0067949295043945,0.0107288360595703,0.0107288360595703,0.0,0.0086069107055664,0.0104904174804687,0.0182390213012695,0.496,1.36,0.0,0.0,0.0,4.272,3.704,112.0,0.0,0.0,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061597397078329,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0085830688476562,0.0,0.0085830688476562,0.0,0.0,0.0061988830566406,0.0078678131103515,0.0078678131103515,0.0,0.00762939453125,0.0107765197753906,0.0202655792236328,0.496,1.36,0.0,0.0,0.0,3.744,4.232,113.256,0.0,1.192,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060838253343876,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0064373016357421,0.0,0.0064373016357421,0.0,0.0,0.0063419342041015,0.0102519989013671,0.0102519989013671,0.0,0.008392333984375,0.0103712081909179,0.023055076599121,0.496,1.36,0.0,0.0,0.0,8.264,7.736,113.256,0.0,1.192,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.006219047812087,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.0073909759521484,0.0075101852416992,0.0073909759521484,0.0067949295043945,0.0083684921264648,0.0,0.0081062316894531,0.0081062316894531,0.0087976455688476,0.0,0.0,0.0,0.496,1.36,0.0,1.696,1.696,0.0,0.0,113.256,0.0,1.192,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061488151550292,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0040859257409331,0.0,0.0050067901611328,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,2400.8,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061711061348035,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.004589557647705,0.0,0.0067949295043945,0.0,0.0,0.0,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,143.152,0.0,150.464,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062429904937744,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.00762939453125,0.0119209289550781,0.0119209289550781,0.0,0.0095367431640625,0.011301040649414,0.021219253540039,0.496,1.36,0.0,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062179565429687,0.0088214874267578,0.0123977661132812,0.0123977661132812,0.0073909759521484,0.0,0.0073909759521484,0.0,0.0,0.0069618225097656,0.0145435333251953,0.0145435333251953,0.0,0.0095367431640625,0.0108718872070312,0.0195503234863281,0.496,1.36,0.0,0.0,0.0,3.744,4.232,112.0,0.0,8.248,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062725123237161,0.0088214874267578,0.0092983245849609,0.0092983245849609,0.0062942504882812,0.0,0.0079154968261718,0.0,0.0,0.0062465667724609,0.0119209289550781,0.0119209289550781,0.0,0.0083684921264648,0.0107526779174804,0.0251293182373046,0.496,1.36,0.0,0.0,0.0,8.264,7.736,124.384,0.0,11.144,0
