time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069943985136428,0.0095367431640625,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0066995620727539,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0086307525634765,0.0113487243652343,0.0274896621704101,0.496,1.424,0.0,0.0,7.488,8.464,117.752,0.0,0.0038781771349833,0.0045299530029296,14612.096,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063613872622969,0.0085830688476562,0.0138282775878906,0.0138282775878906,0.0,0.0,0.0060558319091796,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0086545944213867,0.0112056732177734,0.0270843505859374,0.496,1.424,0.0,0.0,7.488,8.464,112.56,0.0,0.0039345178848657,0.0047683715820312,2176.632,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059163570404052,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.0,0.0060984962864925,0.011444091796875,0.011444091796875,0.0,0.0,0.0082015991210937,0.0103541782924107,0.0257492065429687,0.496,1.392,0.0,0.0,17.056,14.944,112.696,0.0,0.0071525573730468,0.0071525573730468,1.192,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058984756469726,0.0076532363891601,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0138282775878906,0.0138282775878906,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.696,0.0,0.0057220458984375,0.0057220458984375,1.192,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063419342041015,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0,0.0,0.007184346516927,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0104427337646484,0.0103314717610677,0.0215053558349609,0.496,1.36,0.0,0.0,10.776,11.312,128.248,0.0,0.0041238963603973,0.0050067901611328,2058.784,0
84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061416625976562,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,112.0,0.0,0.0040097670121626,0.0047683715820312,1268.424,0
85,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058245658874511,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0,0.0,0.006413459777832,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0088453292846679,0.0111818313598632,0.0283002853393554,0.496,1.392,0.0,0.0,7.488,8.464,112.0,0.0,0.0,0.0,0.0,0
86,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058484077453613,0.0078916549682617,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0063657760620117,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0084638595581054,0.0107765197753906,0.0274658203125,0.496,1.36,0.0,0.0,7.488,8.464,112.0,0.0,0.0,0.0,0.0,0
87,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062024415428958,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0067830085754394,0.009775161743164,0.009775161743164,0.0,0.0,0.0089645385742187,0.0113129615783691,0.0262975692749023,0.496,1.36,0.0,0.0,16.528,15.472,112.56,0.0,0.0,0.0,0.0,0
88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059864308574412,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.816,0.0,0.0085830688476562,0.0085830688476562,1.192,0
