time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067931677907558,0.0088214874267578,0.0069141387939453,0.0069141387939453,0.0042915344238281,0.0,0.00762939453125,0.00762939453125,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.496,1.424,0.848,0.848,0.0,0.0,0.0,127.576,0.0039627263834188,0.0047683715820312,1948.432,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066685676574707,0.0083684921264648,0.0073909759521484,0.0073909759521484,0.0042915344238281,0.0064849853515625,0.0066757202148437,0.0066757202148437,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.0081539154052734,0.0121116638183593,0.0223636627197265,0.496,1.424,0.848,0.848,4.52,3.504,0.0,112.0,0.0,0.0,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066155254250705,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0042915344238281,0.006270408630371,0.0066757202148437,0.0066757202148437,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.0088453292846679,0.0115156173706054,0.0263452529907226,0.496,1.36,0.848,0.848,8.264,7.736,0.0,122.384,0.0042401827298677,0.0054836273193359,674.344,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065433979034423,0.0078678131103515,0.0104904174804687,0.0104904174804687,0.0042915344238281,0.0,0.0119209289550781,0.0119209289550781,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.496,1.36,0.848,0.848,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063945998006792,0.0081062316894531,0.0088214874267578,0.0088214874267578,0.0042915344238281,0.0,0.0128746032714843,0.0128746032714843,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.496,1.424,0.848,0.848,0.0,0.0,0.0,113.256,0.0054836273193359,0.0054836273193359,1.192,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065892350439931,0.0083446502685546,0.0150203704833984,0.0150203704833984,0.0042915344238281,0.006103515625,0.0095367431640625,0.0095367431640625,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.0076770782470703,0.0121593475341796,0.0236034393310546,0.496,1.36,0.848,0.848,3.744,4.232,0.0,128.832,0.0039184985517644,0.0042915344238281,1630.568,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064776311466349,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0042915344238281,0.0069856643676757,0.0085830688476562,0.0085830688476562,0.0042915344238281,0.0081062316894531,0.0081062316894531,0.0088691711425781,0.0114917755126953,0.0301837921142578,0.496,1.424,0.848,0.848,7.488,8.464,0.0,113.256,0.0088214874267578,0.0088214874267578,1.192,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064776311466349,0.0081062316894531,0.0095367431640625,0.0095367431640625,0.0152587890625,0.0067551930745442,0.0081062316894531,0.0081062316894531,0.0152587890625,0.0064373016357421,0.0064373016357421,0.0092983245849609,0.0110467274983723,0.0261783599853515,0.496,1.36,0.848,0.848,12.008,11.968,0.0,113.256,0.0088214874267578,0.0088214874267578,1.192,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064776311466349,0.0081062316894531,0.0070810317993164,0.0067949295043945,0.0,0.0062465667724609,0.014662742614746,0.0187635421752929,0.0,0.0,0.0,0.008392333984375,0.0111818313598632,0.0248193740844726,1.344,2.208,0.0,0.0,8.264,7.736,0.0,113.256,0.0088214874267578,0.0088214874267578,1.192,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064776311466349,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0088214874267578,0.0088214874267578,1.192,0
