time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0081062316894531,0.0081062316894531,0.0050067901611328,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.0,0.0208043037576878,0.0,0.496,1.36,0.0,0.0,118.448,0.0,0.0,34.903047091412745,5205.184,1
108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0081062316894531,0.0081062316894531,0.0050067901611328,0.006103515625,0.0100135803222656,0.0100135803222656,0.0077247619628906,0.012063980102539,0.0,0.0,0.0,0.0,0.0208043037576878,0.0226020812988281,0.496,1.36,0.0,0.0,118.448,3.744,4.232,34.903047091412745,5205.184,1
109,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0073909759521484,0.0073909759521484,0.0050067901611328,0.0062465667724609,0.0073909759521484,0.0073909759521484,0.0079154968261718,0.0112533569335937,0.0,0.0,0.0,0.0,0.0208043037576878,0.0209808349609375,0.496,1.36,0.0,0.0,118.448,3.744,4.232,34.903047091412745,5205.184,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0078678131103515,0.0078678131103515,0.0050067901611328,0.0061670939127604,0.0064373016357421,0.0064373016357421,0.0087261199951171,0.0112533569335937,0.0,0.0,0.0,0.0,0.0208043037576878,0.0283241271972656,0.496,1.36,0.0,0.0,118.448,12.008,11.968,34.903047091412745,5205.184,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0100135803222656,0.0100135803222656,0.0050067901611328,0.0076770782470703,0.0145435333251953,0.0145435333251953,0.0103473663330078,0.0108718872070312,0.0,0.0,0.0,0.0,0.0208043037576878,0.0207901000976562,0.496,1.36,0.0,0.0,118.448,3.744,4.232,34.903047091412745,5205.184,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.00762939453125,0.00762939453125,0.0050067901611328,0.0063419342041015,0.0064373016357421,0.0064373016357421,0.0085830688476562,0.0110149383544921,0.0,0.0,0.0,0.0,0.0208043037576878,0.0264644622802734,0.496,1.36,0.0,0.0,118.448,8.264,7.736,34.903047091412745,5205.184,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0066757202148437,0.0066757202148437,0.0050067901611328,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0,0.0208043037576878,0.0,0.496,1.36,0.0,0.0,118.448,0.0,0.0,34.903047091412745,5205.184,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.005960464477539,0.005960464477539,0.0050067901611328,0.0069618225097656,0.009775161743164,0.009775161743164,0.008249282836914,0.0111103057861328,0.0,0.0,0.0,0.0,0.0208043037576878,0.0209808349609375,0.496,1.36,0.0,0.0,118.448,3.744,4.232,34.903047091412745,5205.184,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.00762939453125,0.00762939453125,0.0050067901611328,0.005960464477539,0.0102519989013671,0.0102519989013671,0.00762939453125,0.011301040649414,0.0,0.0,0.0,0.0,0.0208043037576878,0.0218868255615234,0.496,1.36,0.0,0.0,118.448,3.744,4.232,34.903047091412745,5205.184,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0069141387939453,0.0069141387939453,0.0050067901611328,0.0065565109252929,0.00762939453125,0.00762939453125,0.0092267990112304,0.0115483999252319,0.0,0.0,0.0,0.0,0.0208043037576878,0.0286102294921875,0.496,1.36,0.0,0.0,118.448,12.536,11.44,34.903047091412745,5205.184,1
