time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
83,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006319871589319,0.0088214874267578,0.0073909759521484,0.0073909759521484,0.0123977661132812,0.0123977661132812,0.0,0.0061511993408203,0.0,0.0,0.0,0.0078678131103515,0.0122547149658203,0.0225067138671875,0.0071525573730468,0.0071525573730468,0.496,1.424,0.0,0.0,4.232,3.744,113.256,0.0,1.192,0
84,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060513468071965,0.00762939453125,0.0081062316894531,0.0081062316894531,0.0150203704833984,0.0150203704833984,0.0,0.007176399230957,0.0,0.0,0.0,0.0101566314697265,0.0113725662231445,0.0277996063232421,0.004876743663441,0.0054836273193359,0.496,1.36,0.0,0.0,7.736,8.264,119.456,0.0,88.344,0
85,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062763690948486,0.0081300735473632,0.0073909759521484,0.0073909759521484,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0
86,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061416625976562,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.011444091796875,0.011444091796875,0.0,0.0069141387939453,0.0,0.0,0.0,0.0101089477539062,0.0115394592285156,0.0213146209716796,0.0,0.0,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0
87,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006162112032003,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0088214874267578,0.0088214874267578,0.0,0.0067710876464843,0.0,0.0,0.0,0.009012222290039,0.0123500823974609,0.0234127044677734,0.0092983245849609,0.0092983245849609,0.496,1.36,0.0,0.0,4.232,3.744,114.264,0.0,1.976,0
88,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060486793518066,0.0081300735473632,0.00762939453125,0.00762939453125,0.0088214874267578,0.0088214874267578,0.0,0.0064690907796223,0.0,0.0,0.0,0.0085830688476562,0.0121434529622395,0.0331878662109375,0.0,0.0,0.496,1.424,0.0,0.0,11.968,12.008,112.0,0.0,0.0,0
89,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005824225289481,0.00762939453125,0.0078678131103515,0.0078678131103515,0.0102519989013671,0.0102519989013671,0.0,0.006866455078125,0.0,0.0,0.0,0.0094890594482421,0.0112533569335937,0.021219253540039,0.0072320302327473,0.0080585479736328,0.496,1.36,0.0,0.0,4.232,3.744,118.872,0.0,6.232,0
90,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061825209972905,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0123977661132812,0.0123977661132812,0.0,0.0065565109252929,0.0,0.0,0.0,0.0089883804321289,0.0111103057861328,0.0257253646850585,0.0049008263481987,0.0059127807617187,0.496,1.424,0.0,0.0,7.736,8.264,120.432,0.0,40.36,0
91,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066946048547725,0.0087976455688476,0.0100135803222656,0.0103950500488281,0.012516975402832,0.0141382217407226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041657023959689,0.0052452087402343,1.344,2.272,0.0,0.0,0.0,0.0,115.648,0.0,304.864,0
92,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065195560455322,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0123977661132812,0.0123977661132812,0.0,0.0065803527832031,0.0,0.0,0.0,0.0086307525634765,0.011301040649414,0.0209331512451171,0.0081062316894531,0.0082969665527343,0.496,1.424,0.0,0.0,4.232,3.744,112.0,0.0,15.872,0
