time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068114535643322,0.0095367431640625,0.0100135803222656,0.0100135803222656,0.0077486038208007,0.0040671404670266,0.0047683715820312,0.0082254409790039,0.0062942504882812,0.0109672546386718,0.0109672546386718,0.0084877014160156,0.0118732452392578,0.02288818359375,0.496,1.424,1.696,1.696,3.744,4.232,35.00962257385254,35.01114845275879,118.448,14214.528,1
136,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064218815286361,0.0085830688476562,0.0107288360595703,0.0107288360595703,0.0,0.0041160177677235,0.0050067901611328,0.0,0.0066916147867838,0.0157356262207031,0.0157356262207031,0.0089645385742187,0.0115076700846354,0.0277996063232421,0.496,1.424,0.0,0.0,12.008,11.968,0.0,0.0,113.256,2596.664,1
137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059986114501953,0.00762939453125,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0064849853515625,0.011444091796875,0.011444091796875,0.0092983245849609,0.0110626220703125,0.020599365234375,0.496,1.36,0.0,0.0,3.744,4.232,0.0,0.0,112.0,0.0,1
138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060021877288818,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0063313378228081,0.0116825103759765,0.0116825103759765,0.008392333984375,0.0106421383944424,0.0245571136474609,0.496,1.36,0.0,0.0,8.792,7.208,0.0,0.0,112.0,0.0,1
139,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066172842885933,0.0090599060058593,0.011444091796875,0.011444091796875,0.0,0.0042350668656198,0.0052452087402343,0.0,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,126.992,2055.312,1
140,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063061714172363,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0,0.004191867640761,0.0050067901611328,0.0,0.0069618225097656,0.0131130218505859,0.0131130218505859,0.0102519989013671,0.0107765197753906,0.0203609466552734,0.496,1.424,0.0,0.0,3.744,4.232,0.0,0.0,112.0,1270.704,1
141,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060221449059633,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0073909759521484,0.0078678131103515,0.0078678131103515,0.0073909759521484,0.0064373016357421,0.0073909759521484,0.0073909759521484,0.0078201293945312,0.0123023986816406,0.0230312347412109,0.496,1.36,3.28,3.312,3.744,4.232,35.00962257385254,35.00962257385254,113.256,1.192,1
142,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062510741883842,0.0085830688476562,0.0092983245849609,0.0092983245849609,0.0063478946685791,0.0057220458984375,0.0057220458984375,0.0074625015258789,0.005801518758138,0.0147819519042968,0.0147819519042968,0.0080108642578125,0.0110149383544921,0.0277042388916015,0.496,1.36,7.472,21.28,12.008,11.968,35.00781740461077,35.00838279724121,113.256,1.192,1
143,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062439572158737,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0061988830566406,0.0061988830566406,0.0,0.0057697296142578,0.0133514404296875,0.0133514404296875,0.0072002410888671,0.0104904174804687,0.01983642578125,0.496,1.36,0.0,0.0,3.744,4.232,0.0,0.0,113.256,1.192,1
144,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062203407287597,0.0085830688476562,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.005748536851671,0.011444091796875,0.011444091796875,0.0067710876464843,0.0102736733176491,0.025033950805664,0.496,1.36,0.0,0.0,8.792,7.208,0.0,0.0,112.0,0.0,1
