time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,F-node
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0072240829467773,0.0100135803222656,0.011444091796875,0.011444091796875,0.0162124633789062,0.0162124633789062,0.0039169587284685,0.0057697296142578,0.0045299530029296,0.0073909759521484,0.0103950500488281,0.0201702117919921,0.0,0.496,1.36,0.0,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,21840.136,0.0,0.0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006061288254771,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0066757202148437,0.0066757202148437,0.0053048133850097,0.0060558319091796,0.0066041946411132,0.0082969665527343,0.0102519989013671,0.0232934951782226,0.0,0.496,1.36,0.0,0.0,0.0,8.264,7.736,114.392,0.0,0.0,0.0,93.312,0.0,0.0,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061882075978748,0.0088214874267578,0.0081062316894531,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.005756105695452,0.0,0.0071525573730468,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,117.192,0.0,0.0,0.0,35.512,0.0,0.0,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059996078263467,0.0078678131103515,0.0069379806518554,0.0060796737670898,0.0127553939819335,0.0143766403198242,0.00762939453125,0.0,0.00762939453125,0.0,0.0,0.0,0.0,1.344,2.208,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0.0,0.0,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061656705182583,0.0083446502685546,0.0112056732177734,0.0112056732177734,0.0073909759521484,0.0073909759521484,0.0085830688476562,0.0,0.0085830688476562,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0.0,0.0,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.00618577003479,0.0078916549682617,0.0081062316894531,0.0081062316894531,0.0121593475341796,0.0121593475341796,0.00762939453125,0.0062942504882812,0.00762939453125,0.008392333984375,0.0113487243652343,0.0224590301513671,0.0,0.496,1.36,0.0,0.0,0.0,3.744,4.232,112.696,0.0,0.0,0.0,1.192,0.0,0.0,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060069561004638,0.0078678131103515,0.00762939453125,0.00762939453125,0.0128746032714843,0.0128746032714843,0.0,0.0063896179199218,0.0,0.0082015991210937,0.0109672546386718,0.0209808349609375,0.0,0.496,1.36,0.0,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.005960464477539,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0116825103759765,0.0116825103759765,0.0,0.0067710876464843,0.0,0.0084638595581054,0.0107765197753906,0.0249862670898437,0.0,0.496,1.36,0.0,0.0,0.0,8.264,7.736,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006105899810791,0.0081300735473632,0.0083446502685546,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061774253845214,0.0085830688476562,0.0109672546386718,0.0109672546386718,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060221449059633,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.013589859008789,0.013589859008789,0.0047683715820312,0.0,0.0047683715820312,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0.0,0.0,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060933146310682,0.0083446502685546,0.00762939453125,0.00762939453125,0.0095367431640625,0.0095367431640625,0.0083446502685546,0.0064849853515625,0.0083446502685546,0.0079631805419921,0.0108242034912109,0.0211715698242187,0.0,0.496,1.36,0.0,0.0,0.0,3.744,4.232,113.256,0.0,0.0,0.0,1.192,0.0,0.0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063602011002118,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0095367431640625,0.0095367431640625,0.0085830688476562,0.0,0.0085830688476562,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0.0,0.0,0
