time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063803658556582,0.0083446502685546,0.0072320302327473,0.0072121620178222,0.0092983245849609,0.0109434127807617,0.0073909759521484,0.0073909759521484,0.0042339851116311,0.0052452087402343,0.0083446502685546,0.0083446502685546,0.0,0.0,0.496,1.424,5.6,4.976,0.0,0.0,115.464,0.0,0.0,1848.776,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065060990366769,0.0088214874267578,0.0061194101969401,0.0058809916178385,0.0070571899414062,0.0068187713623046,0.011444091796875,0.011444091796875,0.0040415355137416,0.0047683715820312,0.0143051147460937,0.0143051147460937,0.0061988830566406,0.0080585479736328,0.496,1.424,4.752,5.264,3.744,4.232,117.192,0.0105857849121093,0.0197887420654296,3354.96,1
75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063602011002118,0.0088214874267578,0.0077486038208007,0.0067353248596191,0.0095844268798828,0.0092744827270507,0.0090599060058593,0.0090599060058593,0.0042574746268136,0.0052452087402343,0.0107288360595703,0.0107288360595703,0.0088214874267578,0.0127315521240234,0.496,1.424,5.6,5.76,3.744,4.232,114.52,85.02016067504883,85.03117561340332,911.184,1
76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006028413772583,0.0083446502685546,0.0081062316894531,0.0112056732177734,0.0086784362792968,0.0142574310302734,0.0081062316894531,0.0081062316894531,0.004887580871582,0.0060081481933593,0.0147819519042968,0.0147819519042968,0.0083843866984049,0.0101327896118164,0.496,1.424,1.344,1.28,4.864,4.824,112.0,85.02048916286893,85.03737449645996,58.064,1
77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061056401469919,0.0083446502685546,0.007033348083496,0.0055432319641113,0.0085115432739257,0.0065326690673828,0.0069141387939453,0.0069141387939453,0.0061988830566406,0.0061988830566406,0.0162124633789062,0.0162124633789062,0.008702278137207,0.0128507614135742,0.496,1.392,5.6,5.76,11.416,11.376,115.648,85.0191315015157,85.03837585449219,3.296,1
78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060525270971921,0.0081062316894531,0.0075697898864746,0.0069737434387207,0.0102519989013671,0.0105142593383789,0.0069141387939453,0.0069141387939453,0.0051259994506835,0.0057935714721679,0.0112056732177734,0.0112056732177734,0.0086784362792968,0.0095844268798828,0.496,1.424,5.6,5.76,4.272,4.232,118.448,85.02074650355748,85.03632545471191,8.112,1
79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068765555696534,0.0092983245849609,0.0077486038208007,0.005960464477539,0.0087976455688476,0.0068426132202148,0.00762939453125,0.00762939453125,0.0040497483506714,0.0047683715820312,0.00762939453125,0.00762939453125,0.0084400177001953,0.011444091796875,0.496,1.424,5.6,5.76,4.52,3.504,123.64,85.01690626144409,85.02259254455566,6426.624,1
80,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063967704772949,0.0085830688476562,0.0074505805969238,0.0064373016357421,0.0086307525634765,0.0090360641479492,0.011444091796875,0.011444091796875,0.0040966111260491,0.0047683715820312,0.0112056732177734,0.0112056732177734,0.0,0.0,0.496,1.424,5.6,5.76,0.0,0.0,112.0,0.0,0.0,1424.576,1
81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059175491333007,0.0078916549682617,0.0075697898864746,0.0067551930745442,0.0086784362792968,0.0073432922363281,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0084877014160156,0.0109195709228515,0.496,1.392,5.104,5.76,3.744,4.232,112.0,85.02206802368164,85.03298759460449,0.0,1
82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059902667999267,0.0076532363891601,0.0075697898864746,0.0072121620178222,0.010085105895996,0.0107526779174804,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0143051147460937,0.0143051147460937,0.0086307525634765,0.0118255615234375,0.496,1.36,5.6,5.76,3.744,4.232,112.0,85.01982688903809,85.03103256225586,0.0,1
