time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_packet_loss_dl_percentage,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_throughput_dl_kbps,F-node
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.006115436553955,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059854984283447,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060920057625606,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0054836273193359,0.0100135803222656,0.0100135803222656,0.0073909759521484,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,119.752,0.0,0.0,0.0,0.0,0.0,13.904,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060043524746871,0.0083446502685546,0.00762939453125,0.00762939453125,0.0060558319091796,0.0069141387939453,0.0095367431640625,0.0095367431640625,0.0089168548583984,0.0078678131103515,0.0103473663330078,0.0187397003173828,0.0,0.496,1.36,0.0,0.0,3.744,4.232,113.256,0.0,0.0,0.0,0.0,0.0,5.784,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062258959991004,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0068187713623046,0.0047286351521809,0.0073909759521484,0.0073909759521484,0.0060319900512695,0.0089168548583984,0.0103950500488281,0.0185012817382812,0.0,0.496,1.36,0.0,0.0,3.744,4.232,123.64,0.0,0.0,0.0,0.0,0.0,138.592,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059877462054959,0.0081062316894531,0.009775161743164,0.009775161743164,0.006723403930664,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0088214874267578,0.0090837478637695,0.0108957290649414,0.0265359878540039,0.0,0.496,1.36,0.0,0.0,8.264,7.736,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059321375176458,0.0078678131103515,0.0083446502685546,0.0083446502685546,0.0,0.0069141387939453,0.0069141387939453,0.0069141387939453,0.0071048736572265,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,122.384,0.0,0.0,0.0,0.0,0.0,18.384,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063376640205952,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0,0.0049309297041459,0.0121593475341796,0.0121593475341796,0.006413459777832,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,114.6,0.0,0.0,0.0,0.0,0.0,145.536,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060150279334528,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0047385692596435,0.0088214874267578,0.0088214874267578,0.005960464477539,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,117.192,0.0,0.0,0.0,0.0,0.0,69.792,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061118602752685,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0061988830566406,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0078201293945312,0.0117778778076171,0.0224113464355468,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
