time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064444186082526,0.0090599060058593,0.0078678131103515,0.0066280364990234,0.0075817108154296,0.011301040649414,0.0071525573730468,0.0071525573730468,0.0054286076472355,0.007033348083496,0.0152587890625,0.0078678131103515,0.0078678131103515,0.0152587890625,0.496,1.424,5.6,6.544,114.392,1.056,0.528,0.0,0.0,56.112,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061655044555664,0.0085830688476562,0.005960464477539,0.0067353248596191,0.009012222290039,0.0065803527832031,0.0090599060058593,0.0090599060058593,0.0051718491774338,0.0066280364990234,0.0100135803222656,0.0090599060058593,0.0090599060058593,0.0100135803222656,0.496,1.392,6.096,5.76,113.832,0.592,0.592,868.0345058441162,868.0226802825928,27.352,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062178616500019,0.0083446502685546,0.0061194101969401,0.0070730845133463,0.0079870223999023,0.007033348083496,0.0107288360595703,0.0107288360595703,0.0085830688476562,0.0085830688476562,0.0065962473551432,0.0116825103759765,0.0116825103759765,0.0089645385742187,0.496,1.424,9.856,10.24,114.392,2.096,3.112,868.0370807647705,868.0252234141032,2.104,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061788181267162,0.0083446502685546,0.0072956085205078,0.0066280364990234,0.0076770782470703,0.0106334686279296,0.0092983245849609,0.0092983245849609,0.0050961971282958,0.0064849853515625,0.0092983245849609,0.0123977661132812,0.0123977661132812,0.0133037567138671,0.496,1.36,6.448,6.256,115.648,3.744,4.232,868.0291175842285,868.017053604126,15.92,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006152851746814,0.0083208084106445,0.0072717666625976,0.0063419342041015,0.0070571899414062,0.0106096267700195,0.0064373016357421,0.0064373016357421,0.0056624412536621,0.0066757202148437,0.0112056732177734,0.0104904174804687,0.0104904174804687,0.0117778778076171,0.496,1.424,5.6,6.544,115.648,1.648,1.12,868.0354595184326,868.0242697397867,7.504,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062803230663337,0.0085830688476562,0.0067710876464843,0.008702278137207,0.010991096496582,0.0092029571533203,0.0083446502685546,0.0083446502685546,0.0054836273193359,0.0071525573730468,0.0088810920715332,0.0131130218505859,0.0131130218505859,0.0105857849121093,0.496,1.424,6.096,5.76,115.648,2.688,3.704,868.022084236145,868.0140574773153,13.376,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060980592794086,0.0083446502685546,0.0062783559163411,0.0065167744954427,0.007033348083496,0.0071525573730468,0.0064373016357421,0.0064373016357421,0.0063180923461914,0.0069856643676757,0.0080108642578125,0.005960464477539,0.005960464477539,0.0110149383544921,0.496,1.424,9.856,10.24,114.392,4.272,4.232,868.0197238922119,868.014931678772,4.208,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062498880262991,0.0083446502685546,0.0057697296142578,0.00762939453125,0.0096797943115234,0.007486343383789,0.0078678131103515,0.0078678131103515,0.0047153896755642,0.0052928924560546,0.0094175338745117,0.0100135803222656,0.0100135803222656,0.0142335891723632,0.496,1.424,6.448,6.256,114.392,3.928,2.912,868.0329322814941,868.0220444997152,18.936,1
134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060296058654785,0.0083446502685546,0.0060200691223144,0.007486343383789,0.0086307525634765,0.0071048736572265,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0126361846923828,0.0145435333251953,0.0145435333251953,0.0149250030517578,0.496,1.392,5.6,6.544,112.0,1.648,1.12,868.0129528045654,868.0121898651123,0.0,1
135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061111070623445,0.0085830688476562,0.0052452087402343,0.0070929527282714,0.0081777572631835,0.0064849853515625,0.0090599060058593,0.0090599060058593,0.005960464477539,0.005960464477539,0.0072320302327473,0.0081062316894531,0.0081062316894531,0.0096797943115234,0.496,1.392,6.096,5.76,114.456,2.096,3.112,868.0300235748291,868.023157119751,2.168,1
