time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,a1_retransmissions_ul_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
101,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0073003768920898,0.0090837478637695,0.0043034553527832,0.0069141387939453,0.0069141387939453,0.0052690505981445,0.0,0.0131130218505859,0.0131130218505859,0.0,0.0,0.0,0.496,1.424,2.0,0.0,0.0,0.0,1.12,0.592,0.0,56.0,1885.5610688527424,3595.8611965179443,4359.026026725769,4359.01802778244,331.152,1
102,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074610990636488,0.0097513198852539,0.0038792124069224,0.0081062316894531,0.0081062316894531,0.0045299530029296,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.496,1.36,1.0,2.0,0.0,0.0,1.12,1.184,0.0,67.08,854.1986544926962,2971.278548240662,4359.033536911011,4359.0247631073,16668.072,1
103,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0081251163293819,0.0100135803222656,0.0038573165927792,0.0104904174804687,0.0104904174804687,0.0042915344238281,0.0,0.0138282775878906,0.0138282775878906,0.0,0.0,0.0,0.496,1.424,1.0,1.0,0.0,0.0,1.12,0.592,0.0,61.888,-173.3087698618571,1536.9913578033447,4359.021830558777,4359.017729759216,15105.672,1
104,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0078327515546013,0.0095367431640625,0.0081062316894531,0.0131130218505859,0.0131130218505859,0.0081062316894531,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.496,1.36,1.0,1.0,0.0,0.0,2.768,1.712,0.0,62.448,327.09261087270886,2903.995895385743,4359.021282196045,4359.014987945557,1.192,1
105,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0071978569030761,0.0092983245849609,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0.496,1.424,0.0,3.0,0.0,0.0,3.28,4.888,0.0,56.0,-149.26104318527948,2055.041790008545,4359.01620388031,4359.013795852661,0.0,1
106,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0072360038757324,0.0090599060058593,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,1.12,0.592,0.0,56.0,-178.58477433522543,1535.5006456375122,4359.022617340088,4359.022617340088,0.0,1
107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0070156437335628,0.0088214874267578,0.0057220458984375,0.0078678131103515,0.0078678131103515,0.0072479248046875,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,1.12,0.592,0.0,61.192,-1201.5735705693562,512.5118494033813,4359.012842178345,4359.012842178345,15.36,1
108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0071525573730468,0.0088453292846679,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0207424163818359,0.0207424163818359,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,3.024,3.248,0.0,56.0,-1484.3820730845134,0.010538101196289,4359.035921096802,4359.02361869812,0.0,1
109,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0073626489922551,0.009775161743164,0.0071525573730468,0.0078678131103515,0.0078678131103515,0.0071525573730468,0.0,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0,0.496,1.36,2.0,0.0,0.0,0.0,1.056,0.0,0.0,57.256,0.0,0.0,4359.041094779968,4359.032034873962,1.192,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0078884454873891,0.0101804733276367,0.0038529571682738,0.009775161743164,0.009775161743164,0.0045299530029296,0.0,0.0166893005371093,0.0166893005371093,0.0,0.0,0.0,0.496,1.36,2.0,0.0,0.0,0.0,1.056,0.528,0.0,82.096,0.0150203704833984,0.0150203704833984,4359.057068824768,4359.044194221497,27547.624,1
