time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_ul_kbps,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059391135600075,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0060081481933593,0.0092983245849609,0.00762939453125,0.00762939453125,0.0,0.0,0.0092983245849609,0.0075340270996093,0.0115394592285156,0.0224590301513671,0.496,1.36,0.0,0.0,3.744,113.256,4.232,0.0,0.0,1.192,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062012553808107,0.0083446502685546,0.0057220458984375,0.0057220458984375,0.0077724456787109,0.0069141387939453,0.0224113464355468,0.0224113464355468,0.0,0.0,0.0087738037109375,0.0125408172607421,0.0109195709228515,0.0199794769287109,0.496,1.36,0.0,0.0,4.52,117.192,3.504,0.0,0.0,29.176,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065070826832841,0.0092029571533203,0.0100135803222656,0.0100135803222656,0.0,0.003974844518542,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0045299530029296,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,137.96,0.0,0.0,0.0,4546.616,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006291403699277,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0059127807617187,0.0044878791360294,0.00762939453125,0.00762939453125,0.0,0.0,0.0067710876464843,0.0075817108154296,0.0111579895019531,0.0209331512451171,0.496,1.36,0.0,0.0,3.744,117.192,4.232,0.0,0.0,163.768,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063830082959467,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0059127807617187,0.0040741853935773,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0050067901611328,0.007486343383789,0.0109672546386718,0.0209331512451171,0.496,1.424,0.0,0.0,3.744,122.384,4.232,0.0,0.0,2037.448,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062214201362571,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0069300333658854,0.0045867193312872,0.0102519989013671,0.0102519989013671,0.0,0.0,0.005960464477539,0.0093460083007812,0.0113169352213541,0.0282764434814453,0.496,1.424,0.0,0.0,12.008,113.256,11.968,0.0,0.0,177.32,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066099495723329,0.0090599060058593,0.0066757202148437,0.0066757202148437,0.0062465667724609,0.0040106389714383,0.0162124633789062,0.0162124633789062,0.0,0.0,0.0047683715820312,0.0080585479736328,0.0112533569335937,0.021982192993164,0.496,1.424,0.0,0.0,3.744,123.64,4.232,0.0,0.0,5298.112,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062590778464137,0.0083446502685546,0.00762939453125,0.00762939453125,0.0063419342041015,0.0043636144593704,0.0183582305908203,0.0183582305908203,0.0,0.0,0.0054836273193359,0.0085830688476562,0.0110626220703125,0.0260114669799804,0.496,1.424,0.0,0.0,8.264,115.52,7.736,0.0,0.0,412.344,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059962272644042,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061929522462152,0.0083446502685546,0.0100135803222656,0.0100135803222656,0.0062942504882812,0.0045418739318847,0.0257492065429687,0.0257492065429687,0.0,0.0,0.0065326690673828,0.0081539154052734,0.0112533569335937,0.0213623046875,0.496,1.424,0.0,0.0,3.744,117.192,4.232,0.0,0.0,174.608,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061321258544921,0.0081300735473632,0.0126361846923828,0.0126361846923828,0.0091075897216796,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0137805938720703,0.0118255615234375,0.0229835510253906,0.496,1.36,0.0,0.0,3.744,112.0,4.232,0.0,0.0,0.0,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061150824669564,0.0083446502685546,0.0104904174804687,0.0104904174804687,0.0066280364990234,0.0044988549273947,0.0159740447998046,0.0159740447998046,0.0,0.0,0.0052452087402343,0.0090599060058593,0.0110467274983723,0.027322769165039,0.496,1.424,0.0,0.0,12.008,122.384,11.968,0.0,0.0,424.8,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006133644141961,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0063419342041015,0.0061988830566406,0.011444091796875,0.011444091796875,0.0,0.0,0.0061988830566406,0.0083446502685546,0.0112056732177734,0.0203609466552734,0.496,1.36,0.0,0.0,3.744,113.256,4.232,0.0,0.0,1.192,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062878452130218,0.0088214874267578,0.0066757202148437,0.0066757202148437,0.0066041946411132,0.00762939453125,0.0107288360595703,0.0107288360595703,0.0,0.0,0.00762939453125,0.008702278137207,0.0114917755126953,0.0274181365966796,0.496,1.36,0.0,0.0,8.264,113.256,7.736,0.0,0.0,1.192,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065024306134479,0.0089645385742187,0.0085830688476562,0.0085830688476562,0.0,0.0040568746961988,0.00762939453125,0.00762939453125,0.0,0.0,0.0047683715820312,0.0,0.0,0.0,0.496,1.392,0.0,0.0,0.0,134.024,0.0,0.0,0.0,4068.288,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059998035430908,0.0078916549682617,0.0071525573730468,0.0071525573730468,0.0072479248046875,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0085353851318359,0.0125408172607421,0.0225067138671875,0.496,1.424,0.0,0.0,3.744,112.0,4.232,0.0,0.0,0.0,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062334537506103,0.0085830688476562,0.0061988830566406,0.0061988830566406,0.0062942504882812,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0081062316894531,0.0125885009765625,0.0248432159423828,0.496,1.36,0.0,0.0,3.744,112.0,4.232,0.0,0.0,0.0,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059902667999267,0.0083446502685546,0.0052452087402343,0.0052452087402343,0.007033348083496,0.0,0.0264644622802734,0.0264644622802734,0.0,0.0,0.0,0.0087499618530273,0.0112950801849365,0.0259876251220703,0.496,1.36,0.0,0.0,12.536,112.0,11.44,0.0,0.0,0.0,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061930394640155,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.005960464477539,0.0041495752698592,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0050067901611328,0.0073432922363281,0.0112056732177734,0.0213623046875,0.496,1.36,0.0,0.0,3.744,132.768,4.232,0.0,0.0,1223.816,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067064077547281,0.0092983245849609,0.00762939453125,0.00762939453125,0.0063896179199218,0.0040710420536815,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0050067901611328,0.0088453292846679,0.0110149383544921,0.0275850296020507,0.496,1.424,0.0,0.0,8.264,118.448,7.736,0.0,0.0,3814.632,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005946230532518,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.0042915344238281,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0042915344238281,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061680428424284,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0069618225097656,0.0069141387939453,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0069141387939453,0.0091075897216796,0.0110149383544921,0.0206470489501953,0.496,1.36,0.0,0.0,3.744,113.256,4.232,0.0,0.0,1.192,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060057640075683,0.0078678131103515,0.0064373016357421,0.0064373016357421,0.0066280364990234,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0088691711425781,0.0111103057861328,0.0202655792236328,0.496,1.36,0.0,0.0,3.744,112.0,4.232,0.0,0.0,0.0,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061368942260742,0.0086069107055664,0.0069141387939453,0.0069141387939453,0.0063737233479817,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0083446502685546,0.01068115234375,0.0264167785644531,0.496,1.36,0.0,0.0,12.008,112.0,11.968,0.0,0.0,0.0,0
