time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00720212955286,0.0097513198852539,0.0119209289550781,0.0119209289550781,0.0065326690673828,0.0116825103759765,0.0116825103759765,0.0079631805419921,0.0,0.0,0.0,0.0,0.0114917755126953,0.00390206297783,0.021982192993164,0.0045299530029296,0.496,1.424,0.0,0.0,3.744,4.232,118.448,0.0,19186.08,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007405139432095,0.0104904174804687,0.0102519989013671,0.0102519989013671,0.0064849853515625,0.0081062316894531,0.0081062316894531,0.0088214874267578,0.0,0.0,0.0,0.0,0.0110387802124023,0.0038762807789931,0.0267982482910156,0.0045299530029296,0.496,1.424,0.0,0.0,8.264,7.736,118.448,0.0,46770.808,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007413625717163,0.009775161743164,0.0143051147460937,0.0143051147460937,0.0073432922363281,0.0128746032714843,0.0128746032714843,0.0100135803222656,0.0,0.0,0.0,0.0,0.0118255615234375,0.0040499084198956,0.0231742858886718,0.0047683715820312,0.496,1.424,0.0,0.0,3.744,4.232,116.632,0.0,2298.008,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067587515607995,0.0088214874267578,0.0057220458984375,0.0057220458984375,0.0063896179199218,0.0126361846923828,0.0126361846923828,0.0078201293945312,0.0,0.0,0.0,0.0,0.0116825103759765,0.0039118015213517,0.0226497650146484,0.0045299530029296,0.496,1.424,0.0,0.0,3.744,4.232,117.192,0.0,3289.504,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061368942260742,0.0083684921264648,0.0088214874267578,0.0088214874267578,0.0069618225097656,0.0119209289550781,0.0119209289550781,0.0090599060058593,0.0133514404296875,0.014662742614746,0.0133514404296875,0.0151395797729492,0.0112771987915039,0.0039236435037575,0.0273704528808593,0.0047683715820312,0.496,1.424,1.696,1.696,8.264,7.736,112.0,0.0,1587.064,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062392125675334,0.0083446502685546,0.0067949295043945,0.0070810317993164,0.0069141387939453,0.0121593475341796,0.0140666961669921,0.0084877014160156,0.0,0.0,0.0,0.0,0.0116825103759765,0.0071525573730468,0.021982192993164,0.0071525573730468,1.344,2.272,0.0,0.0,3.744,4.232,116.12,0.0,3.832,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058560822140518,0.0073909759521484,0.0078678131103515,0.0078678131103515,0.0061988830566406,0.0119209289550781,0.0119209289550781,0.0078678131103515,0.0,0.0,0.0,0.0,0.0121116638183593,0.0078678131103515,0.0229358673095703,0.0078678131103515,0.496,1.36,0.0,0.0,3.744,4.232,113.256,0.0,1.192,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060992454414937,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0058412551879882,0.0073909759521484,0.0073909759521484,0.0081539154052734,0.0,0.0,0.0,0.0,0.0107288360595703,0.0045299530029296,0.0264644622802734,0.0045299530029296,0.496,1.36,0.0,0.0,8.264,7.736,113.256,0.0,1.192,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057849124889468,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0066757202148437,0.0100135803222656,0.0100135803222656,0.0083446502685546,0.0,0.0,0.0,0.0,0.0105698903401692,0.00762939453125,0.0188350677490234,0.00762939453125,0.496,1.36,0.0,0.0,4.272,3.704,113.256,0.0,1.192,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060850114964727,0.0085830688476562,0.0123977661132812,0.0123977661132812,0.006103515625,0.009775161743164,0.009775161743164,0.0075817108154296,0.0,0.0,0.0,0.0,0.0116825103759765,0.0057220458984375,0.0225543975830078,0.0057220458984375,0.496,1.392,0.0,0.0,3.744,4.232,117.192,0.0,5.752,0
