time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,a1_retransmissions_ul_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063550883326037,0.0088214874267578,0.0061591466267903,0.0067551930745442,0.0071525573730468,0.0109672546386718,0.0109672546386718,0.0073909759521484,0.0085830688476562,0.0085830688476562,0.0046491622924804,0.0066518783569335,0.496,1.392,0.0,0.0,9.856,10.176,123.64,4.272,3.704,0.0,0.006258487701416,0.0073671340942382,0.0185966491699218,0.0107685724894205,244.352,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0064859342812305,0.0085830688476562,0.0061988830566406,0.007486343383789,0.0096321105957031,0.0088214874267578,0.0088214874267578,0.0071525573730468,0.013589859008789,0.013589859008789,0.0049322843551635,0.0064373016357421,0.496,1.424,0.0,0.0,6.448,6.224,113.256,0.0,0.0,0.0,0.0,0.0,4359.036684036255,4359.036684036255,74.64,1
75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060043524746871,0.0081062316894531,0.0060200691223144,0.0071048736572265,0.0085353851318359,0.0100135803222656,0.0100135803222656,0.0070095062255859,0.0123977661132812,0.0123977661132812,0.0061988830566406,0.0061988830566406,0.496,1.392,1.0,0.0,5.6,6.512,113.256,0.0,0.0,0.0,0.0,0.0,4359.036660194397,4359.036564826965,1.192,1
76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061941146850585,0.0086069107055664,0.009775161743164,0.0064373016357421,0.0070095062255859,0.0107288360595703,0.0107288360595703,0.014352798461914,0.0109672546386718,0.0109672546386718,0.0,0.0,0.496,1.36,2.0,0.0,6.096,5.728,112.0,0.0,0.0,0.0,0.0,0.0,4359.089350700378,4359.066367149353,0.0,1
77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063073635101318,0.0088214874267578,0.0069538752237955,0.0080664952596028,0.0092983245849609,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.009775161743164,0.009775161743164,0.0,0.0,0.496,1.36,2.0,0.0,9.856,10.176,112.0,0.0,0.0,0.0,0.0,0.0,4359.028744697571,4359.026551246643,0.0,1
78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062990188598632,0.0086069107055664,0.0071525573730468,0.0066280364990234,0.0077724456787109,0.0085830688476562,0.0085830688476562,0.0104427337646484,0.0112056732177734,0.0112056732177734,0.0,0.0,0.496,1.36,2.0,0.0,6.448,6.224,112.0,0.0,0.0,0.0,0.0,0.0,4359.02795791626,4359.025478363037,0.0,1
79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062692165374755,0.0088453292846679,0.0074505805969238,0.0071525573730468,0.008249282836914,0.0083446502685546,0.0083446502685546,0.0109195709228515,0.0083446502685546,0.0083446502685546,0.0,0.0,0.496,1.36,1.0,0.0,5.6,6.512,112.0,1.184,1.184,0.0,1891.0750945409136,4001.648879051209,4359.020233154297,4359.015607833862,0.0,1
80,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060643299971476,0.0081062316894531,0.0071048736572265,0.0066757202148437,0.0083684921264648,0.0083446502685546,0.0083446502685546,0.0097274780273437,0.0252723693847656,0.0252723693847656,0.0050067901611328,0.0053882598876953,0.496,1.36,0.0,4.0,6.096,5.728,115.712,1.184,2.368,0.0,852.6005347569784,3071.9944953918457,4359.014439582825,4359.01415348053,3.36,1
81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062925898613621,0.0085830688476562,0.0066359837849934,0.006715456644694,0.0082254409790039,0.0071525573730468,0.0071525573730468,0.0090599060058593,0.0088214874267578,0.0088214874267578,0.0042915344238281,0.0042915344238281,0.496,1.424,0.0,2.0,9.856,10.176,113.256,1.184,1.184,0.0,-174.89937941233316,1944.719505310059,4359.011888504028,4359.011888504028,1.192,1
82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062071861912362,0.0081062316894531,0.0066280364990234,0.00762939453125,0.009775161743164,0.0069141387939453,0.0069141387939453,0.0082015991210937,0.00762939453125,0.00762939453125,0.0047683715820312,0.0047683715820312,0.496,1.36,0.0,2.0,6.448,6.224,113.256,1.184,1.184,0.0,-1198.8999048868816,920.7209587097173,4359.012818336487,4359.012722969055,1.192,1
