time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
157,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062334537506103,0.0083684921264648,0.0069141387939453,0.0069141387939453,0.0065326690673828,0.0109672546386718,0.0109672546386718,0.0,0.0,0.008249282836914,0.0072717666625976,0.008702278137207,0.0109195709228515,0.020599365234375,0.496,1.36,1.104,2.72,4.232,3.744,112.0,650.0091552734375,650.010871887207,0.0,1
158,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006248701864214,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0059763590494791,0.0071525573730468,0.0071525573730468,0.0057220458984375,0.0057220458984375,0.0084400177001953,0.0069141387939453,0.0069141387939453,0.0112851460774739,0.0276565551757812,0.496,1.36,1.072,3.248,11.968,12.008,113.256,650.017499923706,650.017499923706,1.192,1
159,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060933146310682,0.0083446502685546,0.009775161743164,0.009775161743164,0.0064849853515625,0.0092983245849609,0.0092983245849609,0.0104904174804687,0.0104904174804687,0.0084400177001953,0.0090599060058593,0.0090599060058593,0.0117301940917968,0.0218391418457031,0.496,1.36,1.344,1.6,4.232,3.744,113.256,650.0154733657837,650.0172853469849,1.192,1
160,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063661319106372,0.0083446502685546,0.009775161743164,0.009775161743164,0.006066428290473,0.011444091796875,0.011444091796875,0.0057220458984375,0.0057220458984375,0.0072956085205078,0.0,0.0,0.0107938593084161,0.026702880859375,0.496,1.36,0.992,0.0,7.208,8.792,113.256,650.017261505127,650.017261505127,1.192,1
161,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006791353225708,0.0086069107055664,0.0061988830566406,0.0061988830566406,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,1
162,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006570816040039,0.0083446502685546,0.005960464477539,0.005960464477539,0.006103515625,0.013589859008789,0.013589859008789,0.0,0.0,0.0078678131103515,0.0,0.0,0.0109672546386718,0.020456314086914,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,1
163,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065934658050537,0.0083684921264648,0.0073909759521484,0.0073909759521484,0.0057220458984375,0.009775161743164,0.009775161743164,0.0,0.0,0.0074386596679687,0.0,0.0,0.0109672546386718,0.0201702117919921,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,1
164,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006570816040039,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0063737233479817,0.0133514404296875,0.0133514404296875,0.0,0.0,0.008249282836914,0.0,0.0,0.0109831492106119,0.0272274017333984,0.496,1.36,0.0,0.0,11.968,12.008,112.0,0.0,0.0,0.0,1
165,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006413459777832,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0059008598327636,0.00762939453125,0.00762939453125,0.0088214874267578,0.0088214874267578,0.0063657760620117,0.0,0.0,0.0106493631998697,0.019073486328125,0.496,1.36,0.0,0.0,3.704,4.272,112.696,0.0,0.0,1.192,1
166,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062107446774914,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0060319900512695,0.0095367431640625,0.0095367431640625,0.0100135803222656,0.0100135803222656,0.0084161758422851,0.0,0.0,0.010848045349121,0.0250101089477539,0.496,1.36,0.0,0.0,7.736,8.264,113.256,0.0,0.0,1.192,1
167,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061004316035787,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0,0.0112056732177734,0.0112056732177734,0.0052452087402343,0.0052452087402343,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,1
168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061547756195068,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0058174133300781,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0072479248046875,0.0,0.0,0.0103473663330078,0.019693374633789,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,1
169,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060224533081054,0.0081300735473632,0.0071525573730468,0.0071525573730468,0.0064849853515625,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0085353851318359,0.0073909759521484,0.0073909759521484,0.0110149383544921,0.0209808349609375,0.496,1.36,0.0,3.312,4.232,3.744,112.0,650.0136852264404,650.0136852264404,0.0,1
