time_seconds,a1_retransmissions_dl_count,a1_retransmissions_ul_count,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062720610363648,0.0085353851318359,0.0085830688476562,0.0085830688476562,0.0065167744954427,0.0042877500019376,0.0052452087402343,0.0119209289550781,0.0119209289550781,0.0082254409790039,0.0067949295043945,0.0078678131103515,0.0,0.0,0.496,1.424,9.856,10.24,118.448,0.0,0.0,0.0,0.0,0.0,475.384,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071112472232025,0.0095129013061523,0.0088214874267578,0.0088214874267578,0.0064373016357421,0.0040538930854082,0.0047683715820312,0.0138282775878906,0.0138282775878906,0.0104904174804687,0.007947285970052,0.0094175338745117,0.0,0.0,0.496,1.424,6.448,7.04,118.448,0.0,0.0,0.0,0.0,0.0,10576.92,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063298952461469,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0060558319091796,0.0042016046089038,0.0051736831665039,0.013589859008789,0.013589859008789,0.0080108642578125,0.0066757202148437,0.0077486038208007,0.0,0.0,0.496,1.424,6.096,5.76,118.448,0.0,0.0,0.0,0.0,0.0,965.568,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064468383789062,0.0088453292846679,0.0088214874267578,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0236034393310546,0.0236034393310546,0.0158309936523437,0.0075697898864746,0.0092506408691406,0.0066995620727539,0.0085830688476562,0.496,1.424,5.6,5.76,112.0,0.0,7.488,8.464,0.0308990478515625,0.0116825103759765,0.0,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064443833757155,0.0085830688476562,0.0100135803222656,0.0100135803222656,0.0059207280476888,0.0051699186626233,0.0070571899414062,0.0092983245849609,0.0092983245849609,0.0069141387939453,0.0072320302327473,0.0090599060058593,0.0060796737670898,0.0086307525634765,0.496,1.36,9.856,10.24,118.928,0.0,7.488,8.464,0.0272512435913085,0.0111818313598632,114.376,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060367584228515,0.0078916549682617,0.0078678131103515,0.0078678131103515,0.0053882598876953,0.0069141387939453,0.007486343383789,0.0140666961669921,0.0140666961669921,0.006723403930664,0.0064770380655924,0.0085830688476562,0.0061511993408203,0.0088453292846679,0.496,1.424,6.448,7.04,112.0,0.0,16.528,15.472,0.0307798385620117,0.0115752220153808,4.56,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063169002532958,0.0086069107055664,0.00762939453125,0.00762939453125,0.0072002410888671,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0089168548583984,0.0088214874267578,0.0108957290649414,0.0,0.0,0.496,1.392,6.096,5.76,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063122487535663,0.0088214874267578,0.0111103057861328,0.0088214874267578,0.0065565109252929,0.0049851157448508,0.0061750411987304,0.0102519989013671,0.0115871429443359,0.0085115432739257,0.0061392784118652,0.0075340270996093,0.0,0.0,1.344,2.208,5.6,5.76,123.744,0.0,0.0,0.0,0.0,0.0,115.232,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062956668362759,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0060399373372395,0.0049538082546657,0.0062465667724609,0.0176429748535156,0.0176429748535156,0.0066757202148437,0.006715456644694,0.0078678131103515,0.0,0.0,0.496,1.424,9.856,10.24,118.448,0.0,0.0,0.0,0.0,0.0,61.192,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060933146310682,0.0085830688476562,0.009775161743164,0.009775161743164,0.0070095062255859,0.0047683715820312,0.0047683715820312,0.0157356262207031,0.0157356262207031,0.0117301940917968,0.0075101852416992,0.0090599060058593,0.007486343383789,0.0099420547485351,0.496,1.424,6.448,7.04,113.256,0.0,7.488,8.464,0.0278472900390625,0.0112295150756835,1.192,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059759616851806,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0073909759521484,0.0,0.0,0.0078678131103515,0.0078678131103515,0.0094890594482421,0.0074505805969238,0.0101804733276367,0.0063657760620117,0.0088930130004882,0.496,1.36,6.096,5.76,112.0,0.0,7.488,8.464,0.0336170196533203,0.0125646591186523,0.0,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061655044555664,0.0081300735473632,0.0085830688476562,0.0085830688476562,0.0067353248596191,0.0,0.0,0.00762939453125,0.00762939453125,0.0092029571533203,0.0076889991760253,0.0086307525634765,0.0063538551330566,0.0092983245849609,0.496,1.36,5.6,5.76,112.0,0.0,16.528,15.472,0.0299453735351562,0.0113844871520996,0.0,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060701370239257,0.0078916549682617,0.0071525573730468,0.0071525573730468,0.0074307123819986,0.0,0.0,0.0121593475341796,0.0121593475341796,0.0088214874267578,0.0066757202148437,0.0077486038208007,0.0,0.0,0.496,1.36,9.856,10.24,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061511993408203,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0072002410888671,0.0,0.0,0.011444091796875,0.011444091796875,0.0100135803222656,0.0075896581013997,0.0107288360595703,0.0,0.0,0.496,1.36,6.448,7.04,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059512502329361,0.0082015991210937,0.0078678131103515,0.0078678131103515,0.0071048736572265,0.0059945242745535,0.0072479248046875,0.0138282775878906,0.0138282775878906,0.0098705291748046,0.0075101852416992,0.0093460083007812,0.0,0.0,0.496,1.36,6.096,5.76,133.288,0.0,0.0,0.0,0.0,0.0,21.048,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061585535457478,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0054240226745605,0.0048784109262319,0.0061988830566406,0.0069141387939453,0.0069141387939453,0.0062227249145507,0.0075697898864746,0.0093460083007812,0.0066757202148437,0.0086545944213867,0.496,1.424,5.6,5.76,113.256,0.0,7.488,8.464,0.0315427780151367,0.0133275985717773,98.824,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062949621855322,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0062386194864908,0.0078678131103515,0.0078678131103515,0.0133514404296875,0.0133514404296875,0.0075101852416992,0.0077088673909505,0.0098943710327148,0.0062465667724609,0.0088930130004882,0.496,1.36,9.856,10.24,113.256,0.0,7.488,8.464,0.0289201736450195,0.0116348266601562,1.192,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061631202697753,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0072956085205078,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0119686126708984,0.0065962473551432,0.0083446502685546,0.0064849853515625,0.0090599060058593,0.496,1.36,6.448,7.04,112.0,0.0,16.528,15.472,0.0277280807495117,0.0112175941467285,0.0,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059592723846435,0.0081062316894531,0.0095367431640625,0.0095367431640625,0.0067710876464843,0.0,0.0,0.0107288360595703,0.0107288360595703,0.0088214874267578,0.0057816505432128,0.0069379806518554,0.0,0.0,0.496,1.36,6.096,5.76,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059318542480468,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0066161155700683,0.0,0.0,0.00762939453125,0.00762939453125,0.0088214874267578,0.0069737434387207,0.0085115432739257,0.0,0.0,0.496,1.36,5.6,5.76,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
