time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_packet_loss_ul_percentage,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068477137171806,0.0088214874267578,0.0085830688476562,0.0085830688476562,0.0058650970458984,0.0081539154052734,0.0112056732177734,0.0169277191162109,0.0211238861083984,0.0266075134277343,1.696,1.696,6.448,7.008,7.736,8.264,33.33333333333333,113.256,20.0,-97.71821498870848,476.4506101608277,319.25415992736816,-250.56838989257807,0.0170469284057617,0.0228643417358398,1.192,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0060541712822605,0.0083446502685546,0.0041723251342773,0.0048637390136718,0.0,0.0,0.0,0.0169277191162109,0.0211238861083984,0.0,1.696,1.696,6.096,5.728,0.0,0.0,25.0,117.888,40.0,-68.64986419677734,450.563383102417,266.6698296864828,-261.32718722025555,0.0170469284057617,0.0228643417358398,33.056,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0066247152451852,0.0085830688476562,0.0045299530029296,0.0057220458984375,0.0062465667724609,0.0079154968261718,0.0127315521240234,0.0169277191162109,0.0211238861083984,0.0247478485107421,1.696,1.696,8.88,9.04,4.232,3.744,20.0,113.256,20.0,-85.55734157562253,427.741003036499,208.7693810462952,-340.3269052505493,0.0170469284057617,0.0228643417358398,55.568,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0065187128578744,0.0085830688476562,0.0043897067799287,0.0061988830566406,0.0061988830566406,0.0079154968261718,0.0119209289550781,0.0169277191162109,0.0211238861083984,0.024271011352539,1.696,1.696,6.576,6.864,4.232,3.744,20.0,142.592,20.0,-38.09995651245117,426.3616323471069,268.51415634155273,-209.7834348678589,0.0170469284057617,0.0228643417358398,392.592,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0062286853790283,0.0083446502685546,0.0041567760965098,0.0058650970458984,0.0057856241861979,0.0080108642578125,0.0106970469156901,0.0169277191162109,0.0211238861083984,0.0277996063232421,1.696,1.696,6.448,7.008,11.968,12.008,33.33333333333333,112.0,20.0,-89.04147148132321,490.8813238143921,322.72064685821533,-251.87164545059204,0.0170469284057617,0.0228643417358398,265.176,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0065871984651773,0.0092744827270507,0.0039396747466056,0.0047683715820312,0.0077724456787109,0.0103950500488281,0.0110626220703125,0.0169277191162109,0.0211238861083984,0.0216007232666015,1.696,1.696,6.096,5.728,4.232,3.744,25.0,122.384,40.0,-72.92280197143555,446.58336639404297,266.7080561319987,-266.3282553354899,0.0170469284057617,0.0228643417358398,4218.128,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0062000751495361,0.0081062316894531,0.0,0.0,0.0063896179199218,0.0083684921264648,0.0113248825073242,0.0169277191162109,0.0211238861083984,0.0267982482910156,1.696,1.696,8.88,9.04,7.736,8.264,20.0,112.0,20.0,-90.0372505187988,423.825740814209,210.00772714614868,-338.5704755783081,0.0170469284057617,0.0228643417358398,0.0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0061583518981933,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0169277191162109,0.0211238861083984,0.0,1.696,1.696,6.576,6.864,0.0,0.0,20.0,112.0,20.0,-43.02835464477539,422.7394104003906,268.24265718460083,-210.78723669052124,0.0170469284057617,0.0228643417358398,0.0,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0061111070623445,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0062465667724609,0.008249282836914,0.011301040649414,0.0169277191162109,0.0211238861083984,0.022745132446289,1.696,1.696,6.448,7.008,4.232,3.744,33.33333333333333,113.256,20.0,-91.12513065338132,486.4522933959961,321.76023721694946,-250.62596797943115,0.0170469284057617,0.0228643417358398,1.192,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0069367885589599,0.0090599060058593,0.0057220458984375,0.0057220458984375,0.0059127807617187,0.0073432922363281,0.01220703125,0.0169277191162109,0.0211238861083984,0.0243186950683593,1.696,1.696,6.096,5.728,4.232,3.744,25.0,112.696,40.0,-75.9244441986084,442.5196170806885,266.67038599650067,-266.99360211690265,0.0170469284057617,0.0228643417358398,1.192,0
