time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,e2_du_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_throughput_dl_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,F-node
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060403288291592,0.0081062316894531,0.0058520923961292,0.0,0.0,0.0083446502685546,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,119.992,26.272,27.936,0.0,0.0116825103759765,0.0116825103759765,39.48,0.0057220458984375,0.0057220458984375,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060796737670898,0.0083208084106445,0.0061988830566406,0.0063180923461914,0.0094175338745117,0.0065803527832031,0.007939338684082,0.0110387802124023,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,1.696,1.696,1.424,115.616,26.272,27.936,0.0,0.0069141387939453,0.0069141387939453,3.264,0.0073909759521484,0.0073909759521484,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061976968945555,0.0083446502685546,0.005197525024414,0.0,0.0,0.0063419342041015,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.424,114.52,26.272,27.936,0.0,0.0092983245849609,0.0092983245849609,10.984,0.0071525573730468,0.0071525573730468,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060498714447021,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.424,112.0,26.272,27.936,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0088214874267578,0.0088214874267578,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061976909637451,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,112.0,26.272,27.936,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0081062316894531,0.0081062316894531,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061213970184326,0.0083684921264648,0.0,0.0,0.0,0.0,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,112.0,26.272,27.936,0.0,0.0123977661132812,0.0123977661132812,0.0,0.0088214874267578,0.0088214874267578,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0059402997220926,0.0081062316894531,0.00762939453125,0.0,0.0,0.00762939453125,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,113.256,26.272,27.936,0.0,0.00762939453125,0.00762939453125,1.192,0.0078678131103515,0.0078678131103515,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0065884939054163,0.0088214874267578,0.0055517469133649,0.0,0.0,0.0070571899414062,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,127.728,26.272,27.936,0.0,0.0073909759521484,0.0073909759521484,16.84,0.0078678131103515,0.0078678131103515,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060351926888992,0.0078678131103515,0.0054836273193359,0.0,0.0,0.0054836273193359,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.424,113.256,26.272,27.936,0.0,0.009775161743164,0.009775161743164,1.192,0.0085830688476562,0.0085830688476562,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.006033182144165,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,112.0,26.272,27.936,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0073909759521484,0.0073909759521484,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.006192922592163,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,112.0,26.272,27.936,0.0,0.0143051147460937,0.0143051147460937,0.0,0.0064373016357421,0.0064373016357421,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061378103171663,0.0083446502685546,0.0066757202148437,0.0,0.0,0.0087261199951171,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.36,119.416,26.272,27.936,0.0,0.0078678131103515,0.0078678131103515,11.944,0.0071525573730468,0.0071525573730468,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061127218869653,0.0080823898315429,0.0045989689074064,0.0,0.0,0.0056266784667968,0.0,0.0,0.0065498881869845,0.0091791152954101,0.0097558305070206,0.0178813934326171,0,0.496,0.0,0.0,1.424,120.176,26.272,27.936,0.0,0.0088214874267578,0.0088214874267578,306.112,0.0100135803222656,0.0100135803222656,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061858998666895,0.0083446502685546,0.0049018859863281,0.0,0.0,0.0058650970458984,0.0,0.0,0.0075101852416992,0.0097513198852539,0.0088214874267578,0.012063980102539,0,0.496,0.0,0.0,1.424,118.448,3.4,2.912,0.0,0.0131130218505859,0.0131130218505859,195.368,0.0078678131103515,0.0078678131103515,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061693758067518,0.008559226989746,0.0047286351521809,0.0,0.0,0.0057697296142578,0.0,0.0,0.0,0.0,0.0,0.0,0,0.496,0.0,0.0,1.392,118.448,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,153.152,0.009775161743164,0.009775161743164,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060997386970142,0.008559226989746,0.0050332811143663,0.0,0.0,0.0063419342041015,0.0,0.0,0.0,0.0,0.0,0.0,0,0.496,0.0,0.0,1.424,115.52,0.0,0.0,0.0,0.013589859008789,0.013589859008789,63.528,0.0083446502685546,0.0083446502685546,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061300856557058,0.0083446502685546,0.0052054723103841,0.0,0.0,0.0065565109252929,0.0,0.0,0.0,0.0,0.0,0.0,0,0.496,0.0,0.0,1.424,117.192,0.0,0.0,0.0,0.0128746032714843,0.0128746032714843,34.208,0.009775161743164,0.009775161743164,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0062285371087676,0.0081062316894531,0.0050291419029235,0.0,0.0,0.0061988830566406,0.0,0.0,0.0071525573730468,0.008392333984375,0.0108718872070312,0.0202655792236328,0,0.496,0.0,0.0,1.424,114.904,3.744,4.232,0.0,0.011444091796875,0.011444091796875,141.12,0.00762939453125,0.00762939453125,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0065250776300382,0.0085830688476562,0.0047922134399414,0.0,0.0,0.0054836273193359,0.0,0.0,0.005960464477539,0.00762939453125,0.0117301940917968,0.0224113464355468,0,0.496,0.0,0.0,1.424,114.792,3.744,4.232,0.0,0.0126361846923828,0.0126361846923828,125.488,0.0061988830566406,0.0061988830566406,0
