time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
89,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006118623336943,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0061750411987304,0.0,0.0085830688476562,0.0,0.010228157043457,0.0239372253417968,0.0044504801432291,0.0054836273193359,0.496,1.424,0.0,0.0,115.552,8.264,7.736,0.0,175.096,0
90,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061455057628119,0.0081062316894531,0.0082254409790039,0.0092744827270507,0.0166893005371093,0.0129938125610351,0.0174760818481445,0.0166893005371093,0.0,0.0121593475341796,0.0,0.0121593475341796,0.0,0.0,0.0048117204145951,0.0054836273193359,1.344,2.272,0.848,0.848,113.256,0.0,0.0,0.0,68.408,0
91,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006086133383765,0.0082969665527343,0.0095367431640625,0.0095367431640625,0.0066757202148437,0.0126361846923828,0.0126361846923828,0.0066757202148437,0.0,0.0145435333251953,0.0,0.0145435333251953,0.0,0.0,0.0057770655705378,0.0073432922363281,0.496,1.392,0.848,0.848,120.872,0.0,0.0,0.0,47.96,0
92,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062795420784262,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0062942504882812,0.0,0.0080108642578125,0.0,0.0113487243652343,0.0217437744140625,0.0052635486309344,0.0061511993408203,0.496,1.424,0.0,0.0,114.76,3.744,4.232,0.0,79.336,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060522556304931,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0070571899414062,0.0,0.0096082687377929,0.0,0.0113964080810546,0.0283718109130859,0.0057220458984375,0.006866455078125,0.496,1.424,0.0,0.0,112.0,7.488,8.464,0.0,21.928,0
94,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062826836463248,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0063578287760416,0.0,0.0087261199951171,0.0,0.010999043782552,0.0268459320068359,0.005340576171875,0.0067949295043945,0.496,1.392,0.0,0.0,119.488,12.008,11.968,0.0,52.0,1
95,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061953245703853,0.0083446502685546,0.0126361846923828,0.0126361846923828,0.0,0.0152587890625,0.0152587890625,0.0,0.0065326690673828,0.0,0.0088453292846679,0.0,0.0109672546386718,0.0260591506958007,0.0057697296142578,0.0067710876464843,0.496,1.424,0.0,0.0,114.296,8.264,7.736,37.5,17.4,1
96,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059545336671136,0.0078678131103515,0.0061988830566406,0.0061988830566406,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,113.256,0.0,0.0,100.0,0.0,1
97,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059770707467302,0.0081062316894531,0.0102519989013671,0.0102519989013671,0.0,0.0162124633789062,0.0162124633789062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,100.0,0.0,1
98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063641236560179,0.0092744827270507,0.0069141387939453,0.0069141387939453,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0061511993408203,0.0,0.0080585479736328,0.0,0.0118732452392578,0.0221729278564453,0.0055134296417236,0.0072956085205078,0.496,1.36,0.0,0.0,117.056,3.744,4.232,46.666666666666664,34.432,1
