time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061245247869208,0.0081062316894531,0.0050628886503331,0.0070095062255859,0.0,0.0073909759521484,0.0073909759521484,0.0,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,116.208,0.0,0.0,0.0,0.0,0.0,43.896,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061032795670008,0.0083208084106445,0.0051941190447126,0.0064849853515625,0.0060081481933593,0.0081062316894531,0.0081062316894531,0.0078201293945312,0.0116825103759765,0.0116825103759765,0.0113487243652343,0.0215530395507812,0.0,0.0,0.496,1.424,0.0,0.0,3.744,4.232,116.432,0.0,0.0,0.0,0.0,0.0,39.792,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060162140955379,0.0081062316894531,0.0049471855163574,0.0053882598876953,0.0056266784667968,0.0069141387939453,0.0069141387939453,0.0069618225097656,0.0131130218505859,0.0131130218505859,0.0100612640380859,0.0172138214111328,0.0,0.0,0.496,1.424,0.0,0.0,3.744,4.232,115.464,0.0,0.0,0.0,0.0,0.0,24.256,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0056698547666938,0.0073909759521484,0.0052452087402343,0.0052452087402343,0.0063180923461914,0.0061988830566406,0.0061988830566406,0.0091552734375,0.0150203704833984,0.0150203704833984,0.0107765197753906,0.0267744064331054,0.0,0.0,0.496,1.424,0.0,0.0,8.264,7.736,115.464,0.0,0.0,0.0,0.0,0.0,3.176,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.005960464477539,0.0078678131103515,0.0054041544596354,0.007033348083496,0.0,0.0064373016357421,0.0064373016357421,0.0,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,114.264,0.0,0.0,0.0,0.0,0.0,41.472,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063151269409787,0.0083446502685546,0.0047354862607758,0.005340576171875,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,114.296,0.0,0.0,0.0,0.0,0.0,75.704,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060714117371209,0.0078678131103515,0.0057518482208251,0.0080585479736328,0.0,0.0056028366088867,0.006270408630371,0.0,0.0120401382446289,0.012516975402832,0.0,0.0,0.0,0.0,1.344,2.272,0.0,0.0,0.0,0.0,115.552,0.0,0.0,0.0,0.0,0.0,18.48,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059191543276947,0.0081062316894531,0.0047783056894938,0.0057220458984375,0.0058650970458984,0.0064373016357421,0.0064373016357421,0.007486343383789,0.0090599060058593,0.0090599060058593,0.0102519989013671,0.018930435180664,0.0,0.0,0.496,1.424,0.0,0.0,3.744,4.232,116.496,0.0,0.0,0.0,0.0,0.0,60.768,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059864308574412,0.0078678131103515,0.0049869219462076,0.0054597854614257,0.0067710876464843,0.0069141387939453,0.0069141387939453,0.0094413757324218,0.0092983245849609,0.0092983245849609,0.0110149383544921,0.0201225280761718,0.0,0.0,0.496,1.424,0.0,0.0,3.744,4.232,116.368,0.0,0.0,0.0,0.0,0.0,32.256,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061205963590251,0.0078678131103515,0.0046888987223307,0.0052452087402343,0.0058809916178385,0.0073909759521484,0.0073909759521484,0.0076770782470703,0.0069141387939453,0.0069141387939453,0.0100786035711115,0.0255107879638671,0.0,0.0,0.496,1.424,0.0,0.0,8.792,7.208,115.208,0.0,0.0,0.0,0.0,0.0,40.408,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059521613429434,0.00762939453125,0.0050067901611328,0.0064849853515625,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,114.6,0.0,0.0,0.0,0.0,0.0,23.728,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060838253343876,0.0081062316894531,0.0058263540267944,0.0069141387939453,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,117.16,0.0,0.0,0.0,0.0,0.0,42.784,0
