time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
100,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.00762939453125,0.00762939453125,0.0053644180297851,0.0060319900512695,0.0061353047688802,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0083446502685546,0.0,0.0105857849121093,0.0277519226074218,0.496,1.36,0.0,0.0,118.448,12.008,11.968,8.928,1
101,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0053644180297851,0.0060319900512695,0.0064902835422092,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0091552734375,0.0,0.010880556973544,0.0274181365966796,0.496,1.36,0.0,0.0,118.448,8.792,7.208,8.928,1
102,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0053644180297851,0.0060319900512695,0.0,0.0,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,118.448,0.0,0.0,8.928,1
103,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0092983245849609,0.0092983245849609,0.0053644180297851,0.0060319900512695,0.0,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,118.448,0.0,0.0,8.928,1
104,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0057220458984375,0.0057220458984375,0.0053644180297851,0.0060319900512695,0.0070095062255859,0.0,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0083446502685546,0.0,0.0111579895019531,0.021219253540039,0.496,1.36,0.0,0.0,118.448,3.744,4.232,8.928,1
105,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.00762939453125,0.00762939453125,0.0053644180297851,0.0060319900512695,0.0057697296142578,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0081300735473632,0.0,0.0112771987915039,0.0290870666503906,0.496,1.36,0.0,0.0,118.448,7.488,8.464,8.928,1
106,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0053644180297851,0.0060319900512695,0.0058650970458984,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0078678131103515,0.0,0.0106652577718098,0.0272750854492187,0.496,1.36,0.0,0.0,118.448,12.008,11.968,8.928,1
107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0053644180297851,0.0060319900512695,0.0063657760620117,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0079154968261718,0.0,0.0108242034912109,0.0278949737548828,0.496,1.36,0.0,0.0,118.448,8.264,7.736,8.928,1
108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0088214874267578,0.0088214874267578,0.0053644180297851,0.0060319900512695,0.0,0.0,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,118.448,0.0,0.0,8.928,1
109,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0053644180297851,0.0060319900512695,0.0,0.0,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,118.448,0.0,0.0,8.928,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0053644180297851,0.0060319900512695,0.0058650970458984,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0072479248046875,0.0,0.0111103057861328,0.021982192993164,0.496,1.36,0.0,0.0,118.448,3.744,4.232,8.928,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0053644180297851,0.0060319900512695,0.0061194101969401,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0084877014160156,0.0,0.0105987895618785,0.028848648071289,0.496,1.36,0.0,0.0,118.448,8.016,7.936,8.928,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0053644180297851,0.0060319900512695,0.0064055124918619,0.0,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0091075897216796,0.0,0.0114599863688151,0.0294685363769531,0.496,1.36,0.0,0.0,118.448,12.008,11.968,8.928,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0088214874267578,0.0088214874267578,0.0053644180297851,0.0060319900512695,0.0060081481933593,0.0,0.0164508819580078,0.0164508819580078,0.0,0.0,0.0088214874267578,0.0,0.011301040649414,0.0284433364868164,0.496,1.36,0.0,0.0,118.448,8.264,7.736,8.928,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0053644180297851,0.0060319900512695,0.0,0.0,0.0147819519042968,0.0147819519042968,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,118.448,0.0,0.0,8.928,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0053644180297851,0.0060319900512695,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,118.448,0.0,0.0,8.928,1
