time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061194101969401,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0112056732177734,0.0112056732177734,0.0088214874267578,0.0088214874267578,0.0060558319091796,0.0,0.0076770782470703,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0104427337646484,0.0193119049072265,0.0,0.0,113.256,3.744,4.232,0.0,1.192,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059853738813257,0.0083446502685546,0.00762939453125,0.00762939453125,0.0071525573730468,0.0071525573730468,0.0058412551879882,0.0072717666625976,0.0064373016357421,0.0,0.0093460083007812,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0098401849920099,0.0231266021728515,0.0,0.0,117.192,8.792,7.208,0.0,14.128,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060176849365234,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062239170074462,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006270408630371,0.0083684921264648,0.0064373016357421,0.0064373016357421,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063032653201278,0.0085830688476562,0.0061988830566406,0.0061988830566406,0.0071525573730468,0.0071525573730468,0.0047683715820312,0.0047683715820312,0.0060558319091796,0.0,0.0079154968261718,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0106334686279296,0.0198841094970703,0.0,0.0,113.256,3.744,4.232,0.0,1.192,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061953245703853,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0143051147460937,0.0143051147460937,0.0045299530029296,0.0045299530029296,0.0063419342041015,0.0,0.0084400177001953,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0100612640380859,0.0186443328857421,0.0,0.0,113.256,3.744,4.232,0.0,1.192,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061834629495345,0.0083446502685546,0.0107288360595703,0.0107288360595703,0.0119209289550781,0.0119209289550781,0.0066757202148437,0.0066757202148437,0.006413459777832,0.0,0.0082015991210937,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0111818313598632,0.0232458114624023,0.0,0.0,113.256,8.264,7.736,0.0,1.192,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061333179473876,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060772895812988,0.0083684921264648,0.00762939453125,0.00762939453125,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062439572158737,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0069141387939453,0.0069141387939453,0.0055789947509765,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,117.192,0.0,0.0,0.0,57.272,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061869621276855,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0058650970458984,0.0,0.0073909759521484,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0103950500488281,0.019073486328125,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059782569088152,0.0078678131103515,0.00762939453125,0.00762939453125,0.0061988830566406,0.0061988830566406,0.0081062316894531,0.0081062316894531,0.006103515625,0.0,0.00762939453125,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0104904174804687,0.0193595886230468,0.0,0.0,113.256,3.744,4.232,0.0,1.192,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061727874907688,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0104904174804687,0.0104904174804687,0.0078678131103515,0.0078678131103515,0.0060558319091796,0.0,0.0086545944213867,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.009918212890625,0.0225543975830078,0.0,0.0,113.256,8.264,7.736,0.0,1.192,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060956869552384,0.0081062316894531,0.00762939453125,0.00762939453125,0.0092983245849609,0.0092983245849609,0.0078678131103515,0.0078678131103515,0.0,0.0109672546386718,0.0,0.0042915344238281,0.0109672546386718,0.0042915344238281,0.496,0.0,1.36,0.0,0.0,0.0,0.848,0.848,113.256,0.0,0.0,0.0,1.192,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006035566329956,0.0081062316894531,0.009775161743164,0.009775161743164,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.00762939453125,0.0,0.0119209289550781,0.00762939453125,0.0119209289550781,0.496,0.0,1.36,0.0,0.0,0.0,0.848,0.848,112.0,0.0,0.0,0.0,0.0,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062072277069091,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061190128326416,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.0054836273193359,0.0054836273193359,0.0,0.0,0.0063419342041015,0.0,0.0082015991210937,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0116825103759765,0.0213146209716796,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062744216163559,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0143051147460937,0.0143051147460937,0.0065167744954427,0.0086784362792968,0.0070095062255859,0.0,0.0094413757324218,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0107765197753906,0.019073486328125,0.0,0.0,122.384,3.744,4.232,0.0,24.248,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063554564518715,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0045299530029296,0.0045299530029296,0.0062227249145507,0.0,0.0084638595581054,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0103712081909179,0.0239849090576171,0.0,0.0,113.256,8.264,7.736,0.0,1.192,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.007274646114036,0.0102519989013671,0.0088214874267578,0.0088214874267578,0.011444091796875,0.011444091796875,0.0038852945133421,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,0.0,144.408,0.0,0.0,0.0,48962.552,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0073697307322284,0.0097513198852539,0.0107288360595703,0.0107288360595703,0.0121593475341796,0.0121593475341796,0.0038959940925973,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,0.0,118.448,0.0,0.0,0.0,6911.216,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062882900238037,0.0088214874267578,0.0074625015258789,0.0067949295043945,0.0118017196655273,0.0149488449096679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.344,0.0,2.272,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0069058356593497,0.0088214874267578,0.0083446502685546,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0039205075967905,0.0045299530029296,0.0060081481933593,0.0,0.0075340270996093,0.0,0.0,0.0,0.496,0.0,1.392,0.0,0.0105857849121093,0.0194549560546875,0.0,0.0,121.824,3.744,4.232,0.0,9835.56,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0067353248596191,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0147819519042968,0.0147819519042968,0.0047683715820312,0.0047683715820312,0.0063896179199218,0.0,0.0082015991210937,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0113964080810546,0.0213146209716796,0.0,0.0,112.0,3.744,4.232,0.0,5.832,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0066554546356201,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0061988830566406,0.0061988830566406,0.0047683715820312,0.005960464477539,0.005960464477539,0.0,0.0081062316894531,0.0,0.0,0.0,0.496,0.0,1.392,0.0,0.0105142593383789,0.0222206115722656,0.0,0.0,112.0,8.264,7.736,0.0,31.48,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063926715568955,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.013589859008789,0.013589859008789,0.0041514635086059,0.0050067901611328,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,124.968,0.0,0.0,0.0,1438.432,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062862245163114,0.0083446502685546,0.0104904174804687,0.0104904174804687,0.0145435333251953,0.0145435333251953,0.0044979700228063,0.0054836273193359,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,0.0,118.448,0.0,0.0,0.0,640.8,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0065222825154219,0.0090599060058593,0.0078678131103515,0.0078678131103515,0.0112056732177734,0.0112056732177734,0.004316113658787,0.0051021575927734,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,0.0,118.448,0.0,0.0,0.0,767.896,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0065364459953685,0.0090599060058593,0.0073909759521484,0.0073909759521484,0.0061988830566406,0.0061988830566406,0.0042295455932617,0.0050306320190429,0.006103515625,0.0,0.00762939453125,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0124454498291015,0.02288818359375,0.0,0.0,118.448,3.744,4.232,0.0,842.976,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059936770159213,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0100135803222656,0.0100135803222656,0.0061988830566406,0.0063896179199218,0.0062942504882812,0.0,0.0078678131103515,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0108242034912109,0.0197887420654296,0.0,0.0,115.288,3.744,4.232,0.0,11.76,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062546326746394,0.0085830688476562,0.00762939453125,0.00762939453125,0.0078678131103515,0.0078678131103515,0.00762939453125,0.00762939453125,0.0063843197292751,0.0,0.0085353851318359,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.010317022150213,0.0226497650146484,0.0,0.0,116.392,8.792,7.208,0.0,4.104,0
