time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,f1_c_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063851105039985,0.0088214874267578,0.0040345158137328,0.0,0.0,0.0047683715820312,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0107288360595703,0.0107288360595703,0.0193595886230468,0,0.496,0.0,1.424,0.0,113.256,25.152,27.344,0.0,2832.304,0.0090599060058593,0.0090599060058593,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060596088371654,0.0085830688476562,0.005960464477539,0.0,0.0,0.0066280364990234,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0107288360595703,0.0107288360595703,0.0193595886230468,0,0.496,0.0,1.424,0.0,118.448,25.152,27.344,0.0,14.552,0.0116825103759765,0.0116825103759765,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063841885859423,0.0085830688476562,0.0041372635785271,0.0,0.0,0.0050067901611328,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0092983245849609,0.0092983245849609,0.0193595886230468,0,0.496,0.0,1.424,0.0,118.448,25.152,27.344,0.0,1213.12,0.0085830688476562,0.0085830688476562,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063471533172759,0.0081062316894531,0.0049046107700892,0.0,0.0,0.006103515625,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0104904174804687,0.0104904174804687,0.0193595886230468,0,0.496,0.0,1.392,0.0,118.928,25.152,27.344,0.0,71.688,0.0066757202148437,0.0066757202148437,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063645839691162,0.0083684921264648,0.0039849962506975,0.0,0.0,0.0050067901611328,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0107288360595703,0.0107288360595703,0.0193595886230468,0,0.496,0.0,1.424,0.0,112.0,25.152,27.344,0.0,1173.096,0.005960464477539,0.005960464477539,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006558871505284,0.0088214874267578,0.0039158565629143,0.0,0.0,0.0045299530029296,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0126361846923828,0.0126361846923828,0.0193595886230468,0,0.496,0.0,1.392,0.0,119.776,25.152,27.344,0.0,6546.2,0.0095367431640625,0.0095367431640625,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060343742370605,0.0081300735473632,0.0039489789940845,0.0,0.0,0.0048637390136718,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0069141387939453,0.0069141387939453,0.0193595886230468,0,0.496,0.0,1.424,0.0,112.0,25.152,27.344,0.0,954.056,0.0085830688476562,0.0085830688476562,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060908312868014,0.0082969665527343,0.00418104776522,0.0,0.0,0.0050067901611328,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0066757202148437,0.0066757202148437,0.0193595886230468,0,0.496,0.0,1.424,0.0,118.52,25.152,27.344,0.0,1133.08,0.0069141387939453,0.0069141387939453,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0068574848741588,0.0092983245849609,0.003990374113384,0.0,0.0,0.0047683715820312,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0140666961669921,0.0140666961669921,0.0193595886230468,0,0.496,0.0,1.424,0.0,115.68,25.152,27.344,0.0,10794.72,0.0119209289550781,0.0119209289550781,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065982341766357,0.0088453292846679,0.0041427468895015,0.0,0.0,0.005197525024414,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.013589859008789,0.013589859008789,0.0193595886230468,0,0.496,0.0,1.424,0.0,112.0,25.152,27.344,0.0,1409.88,0.0090599060058593,0.0090599060058593,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0066389491902061,0.0085830688476562,0.0045299530029296,0.0,0.0,0.0045299530029296,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0145435333251953,0.0145435333251953,0.0193595886230468,0,0.496,0.0,1.392,0.0,113.256,25.152,27.344,0.0,1.192,0.0100135803222656,0.0100135803222656,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064814090728759,0.0083684921264648,0.0071525573730468,0.0,0.0,0.0071525573730468,0.0061375754220145,0.0,0.0,0.0081062316894531,0.0096116747174944,0.0064373016357421,0.0064373016357421,0.0193595886230468,0,0.496,0.0,1.36,0.0,114.28,25.152,27.344,0.0,2.552,0.0069141387939453,0.0069141387939453,0
