time_seconds,a1_retransmissions_ul_count,a1_packet_loss_ul_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061241548452804,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0109672546386718,0.0081062316894531,0.0109672546386718,0.0081062316894531,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060268895543036,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0102519989013671,0.0064373016357421,0.0102519989013671,0.0064373016357421,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.36,0.0,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062493855142828,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0092983245849609,0.003929046704043,0.0092983245849609,0.0045299530029296,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.36,0.0,0.0,0.0,124.952,25.152,27.344,0.0,4776.136,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0069046020507812,0.0095605850219726,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0078678131103515,0.0038860881395932,0.0078678131103515,0.0045299530029296,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.0,0.0,112.0,25.152,27.344,0.0,12193.376,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060641765594482,0.0081300735473632,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0123977661132812,0.0,0.0123977661132812,0.0,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.392,0.0,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061619281768798,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.009775161743164,0.0,0.009775161743164,0.0,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.36,0.0,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060644804262647,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.011444091796875,0.0045574628389798,0.011444091796875,0.0066757202148437,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.36,0.0,0.0,0.0,132.416,25.152,27.344,0.0,248.992,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060162140955379,0.0083446502685546,0.0073432922363281,0.0071525573730468,0.0,0.0,0.0,0.0,0.0143051147460937,0.0057220458984375,0.0188827514648437,0.0057220458984375,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,1.344,2.272,0.0,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063856247023408,0.0088214874267578,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0119209289550781,0.0056303464449368,0.0119209289550781,0.0075101852416992,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.0,0.0,118.856,25.152,27.344,0.0,64.656,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.006163474356774,0.0083208084106445,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.0078678131103515,0.0051657358805338,0.0078678131103515,0.0057220458984375,0.0064032418387276,0.0085830688476562,0.0098773411342075,0.0205039978027343,0.496,1.424,0.0,0.0,0.0,115.792,25.152,27.344,0.0,34.488,0
