time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
150,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066178860050616,0.0088214874267578,0.0069141387939453,0.0069141387939453,0.013589859008789,0.013589859008789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081113044251786,0.0064373016357421,0.496,1.808,0.0,0.0,0.0,0.0,119.488,18.96551724137931,730.048,1
151,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006641149520874,0.0088453292846679,0.0078678131103515,0.0078678131103515,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141518456595284,0.0066757202148437,0.496,1.84,0.0,0.0,0.0,0.0,112.0,28.8135593220339,748.448,1
152,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064408250630195,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0143051147460937,0.0143051147460937,0.0,0.0056743621826171,0.0,0.0,0.0,0.0071525573730468,0.0113964080810546,0.0226974487304687,0.0117745088494342,0.0072479248046875,0.496,1.84,0.0,0.0,4.232,3.744,123.64,24.897959183673468,1561.824,1
153,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065376262853641,0.0090599060058593,0.0104188919067382,0.0082254409790039,0.0089406967163085,0.0097990036010742,0.0,0.0065565109252929,0.0,0.0,0.0,0.0091314315795898,0.0118970870971679,0.0288963317871093,0.0070155935084566,0.0061988830566406,1.344,2.688,0.0,0.0,8.464,7.488,118.448,24.193548387096776,824.272,1
154,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067335544246258,0.0087976455688476,0.0083446502685546,0.0083446502685546,0.0159740447998046,0.0159740447998046,0.0,0.0058809916178385,0.0,0.0,0.0,0.0082015991210937,0.0107765197753906,0.0264167785644531,0.0184780389220271,0.091409683227539,0.496,1.84,0.0,0.0,11.968,12.008,118.448,23.46153846153846,1814.152,1
155,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068975325247541,0.0092983245849609,0.009775161743164,0.009775161743164,0.0104904174804687,0.0104904174804687,0.0,0.0064373016357421,0.0,0.0,0.0,0.008392333984375,0.0109434127807617,0.0256776809692382,0.0090295342123432,0.0064373016357421,0.496,1.84,0.0,0.0,7.736,8.264,117.192,23.414634146341466,1385.032,1
156,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006781288640416,0.0095367431640625,0.00762939453125,0.00762939453125,0.0176429748535156,0.0176429748535156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127866533067491,0.0066757202148437,0.496,1.84,0.0,0.0,0.0,0.0,115.288,22.145328719723185,1862.312,1
157,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067148635636514,0.0088214874267578,0.009775161743164,0.009775161743164,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0163374493300652,0.086212158203125,0.496,1.84,0.0,0.0,0.0,0.0,114.968,22.26027397260274,2025.576,1
158,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063400363447654,0.0088214874267578,0.0088214874267578,0.0088214874267578,0.0143051147460937,0.0143051147460937,0.0,0.0060558319091796,0.0,0.0,0.0,0.0077724456787109,0.0109672546386718,0.0203609466552734,0.0109557182558121,0.006413459777832,0.496,1.84,0.0,0.0,4.232,3.744,117.192,31.11111111111111,493.248,1
159,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067984703743811,0.0092744827270507,0.0078678131103515,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.0,0.0058412551879882,0.0,0.0,0.0,0.0083446502685546,0.0110626220703125,0.0269651412963867,0.0115582163299994,0.0064373016357421,0.496,1.84,0.0,0.0,8.464,7.488,118.336,22.99270072992701,1809.768,1
