time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059914588928222,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060689449310302,0.0078678131103515,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0063896179199218,0.02288818359375,0.02288818359375,0.0,0.0084877014160156,0.0,0.0091393788655598,0.0168323516845703,0.0,0.496,1.36,0.0,0.0,112.0,10.776,11.312,0.0,0.0,0.0,0.0,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062327758938658,0.0085115432739257,0.0066757202148437,0.0066757202148437,0.0051498413085937,0.0072479248046875,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,127.008,0.0,0.0,0.0,0.0,0.0,84.504,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064479242457021,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0062386194864908,0.0075101852416992,0.0058650970458984,0.0126361846923828,0.0126361846923828,0.0,0.0074386596679687,0.0,0.0108718872070312,0.0207424163818359,0.0,0.496,1.36,0.0,0.0,118.448,3.744,4.232,0.0,0.0,0.0,21.04,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0066013619451239,0.0090360641479492,0.0064373016357421,0.0064373016357421,0.0044668422025792,0.0060319900512695,0.006103515625,0.0104904174804687,0.0104904174804687,0.0,0.0076770782470703,0.0,0.0115394592285156,0.022125244140625,0.0,0.496,1.36,0.0,0.0,115.552,3.744,4.232,0.0,0.0,0.0,598.016,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062978267669677,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0046281253590303,0.0058174133300781,0.0059127807617187,0.0131130218505859,0.0131130218505859,0.0,0.0083446502685546,0.0,0.0101089477539062,0.0238418579101562,0.0,0.496,1.36,0.0,0.0,112.0,8.264,7.736,0.0,0.0,0.0,117.736,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063192726361869,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0050067901611328,0.005960464477539,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,122.384,0.0,0.0,0.0,0.0,0.0,20.632,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060707775514517,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.004434585571289,0.0064611434936523,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,114.296,0.0,0.0,0.0,0.0,0.0,162.768,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061297416687011,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060997386970142,0.0081062316894531,0.0100135803222656,0.0100135803222656,0.0044055607007897,0.0071525573730468,0.005960464477539,0.0159740447998046,0.0159740447998046,0.0,0.00762939453125,0.0,0.0103473663330078,0.019073486328125,0.0,0.496,1.36,0.0,0.0,118.448,3.744,4.232,0.0,0.0,0.0,234.6,0
