time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063669681549072,0.0088214874267578,0.0154972076416015,0.0,0.0154972076416015,0.0,0.0,0.0052452087402343,0.0052452087402343,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0,0,0.496,1.36,0.848,0.848,112.0,0.0,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061023235321044,0.0085830688476562,0.0054836273193359,0.0,0.0054836273193359,0.0,0.0,0.0140666961669921,0.0140666961669921,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0,0,0.496,1.36,0.848,0.848,112.0,0.0,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059223175048828,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138282775878906,0.0138282775878906,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0064373016357421,0.0064373016357421,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060043524746871,0.0081062316894531,0.0,0.0078678131103515,0.0,0.006103515625,0.0078678131103515,0.0,0.0,0.0074386596679687,0.0111579895019531,0.0140666961669921,0.0140666961669921,0.0212669372558593,0,0.496,1.36,0.0,0.0,113.256,3.744,4.232,0.0,1.192,0.0069141387939453,0.0069141387939453,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060348227472588,0.0081062316894531,0.0,0.0063578287760416,0.0,0.0061511993408203,0.0083446502685546,0.0,0.0,0.0078678131103515,0.0104904174804687,0.0088214874267578,0.0088214874267578,0.0204086303710937,0,0.496,1.36,0.0,0.0,118.448,3.744,4.232,0.0,22.584,0.0085830688476562,0.0085830688476562,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.005960464477539,0.0078678131103515,0.0,0.0054836273193359,0.0,0.0060319900512695,0.0054836273193359,0.0,0.0,0.0083684921264648,0.0106096267700195,0.0102519989013671,0.0102519989013671,0.0263690948486328,0,0.496,1.36,0.0,0.0,113.256,8.264,7.736,0.0,1.192,0.0073909759521484,0.0073909759521484,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058960914611816,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061988830566406,0.0061988830566406,0.0,0,0.496,1.424,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061523914337158,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0107288360595703,0.0107288360595703,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0068227064262316,0.0091791152954101,0.0,0.0038715133890073,0.0,0.0,0.0045299530029296,0.0,0.0,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0,0,0.496,1.36,0.0,0.0,143.152,0.0,0.0,0.0,14429.888,0.0066757202148437,0.0066757202148437,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0068251766375641,0.0095367431640625,0.0,0.0040269552026306,0.0,0.0070571899414062,0.0050067901611328,0.0,0.0,0.0089645385742187,0.0103473663330078,0.0083446502685546,0.0083446502685546,0.0192642211914062,0,0.496,1.424,0.0,0.0,114.392,3.744,4.232,0.0,4161.416,0.0078678131103515,0.0078678131103515,0
