time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005921706777488,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0056624412536621,0.0065326690673828,0.0126361846923828,0.0,0.0126361846923828,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,121.16,0.0,0.0,0.0,0.0,26.4,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005921706777488,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0056624412536621,0.0065326690673828,0.0073909759521484,0.0084400177001953,0.0073909759521484,0.0136375427246093,0.0090599060058593,0.0090599060058593,0.0121593475341796,0.022745132446289,0.496,1.36,0.848,0.848,121.16,4.52,3.504,0.0078678131103515,0.0078678131103515,26.4,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005921706777488,0.0081062316894531,0.0060796737670898,0.0069379806518554,0.0056624412536621,0.0065326690673828,0.0084638595581054,0.0068426132202148,0.0106573104858398,0.0092267990112304,0.0,0.0,0.0115394592285156,0.029301643371582,1.344,2.208,0.0,0.0,121.16,8.264,7.736,0.0,0.0,26.4,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005921706777488,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0056624412536621,0.0065326690673828,0.0195503234863281,0.0,0.0195503234863281,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,121.16,0.0,0.0,0.0,0.0,26.4,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061895789169683,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.004887580871582,0.0077247619628906,0.0116825103759765,0.0,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,134.344,0.0,0.0,0.0,0.0,125.952,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060005943373878,0.0083446502685546,0.00762939453125,0.00762939453125,0.0052690505981445,0.0076770782470703,0.0064373016357421,0.005960464477539,0.0064373016357421,0.0077247619628906,0.0,0.0,0.0106334686279296,0.0202178955078125,0.496,1.424,0.0,0.0,118.448,3.744,4.232,0.0,0.0,85.312,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059960493400915,0.0081062316894531,0.0123977661132812,0.0123977661132812,0.0057220458984375,0.0057220458984375,0.0159740447998046,0.0062465667724609,0.0159740447998046,0.0083446502685546,0.0,0.0,0.0116348266601562,0.0288009643554687,0.496,1.424,0.0,0.0,113.256,7.488,8.464,0.0,0.0,1.192,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060423096614097,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0047683715820312,0.0047683715820312,0.0133514404296875,0.0066598256429036,0.0133514404296875,0.0088214874267578,0.0,0.0,0.0111579895019531,0.0277996063232421,0.496,1.36,0.0,0.0,113.256,12.008,11.968,0.0,0.0,1.192,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062823295593261,0.0085830688476562,0.00762939453125,0.00762939453125,0.0,0.0,0.0073909759521484,0.0061511993408203,0.0073909759521484,0.0083684921264648,0.0,0.0,0.0108003616333007,0.026869773864746,0.496,1.36,0.0,0.0,112.0,8.264,7.736,0.0,0.0,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059711933135986,0.0076532363891601,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0073909759521484,0.0,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
