time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
143,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060105323791503,0.0081300735473632,0.0063419342041015,0.0061392784118652,0.0073909759521484,0.0071048736572265,0.0,0.0,0.0053246815999348,0.0058174133300781,0.0061988830566406,0.0061988830566406,0.0112652778625488,0.021982192993164,0.496,1.36,6.096,5.728,3.176,3.216,112.0,32.01723098754883,32.01723098754883,0.0,1
144,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006333589553833,0.0085830688476562,0.0056879861014229,0.0071525573730468,0.0068187713623046,0.0084161758422851,0.0,0.0,0.0060399373372395,0.00762939453125,0.0143051147460937,0.0143051147460937,0.0103541782924107,0.0173568725585937,0.496,1.36,10.928,14.336,4.032,5.576,112.0,32.00840950012207,32.00840950012207,0.0,1
145,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065616939378821,0.0086784362792968,0.0076532363891601,0.0073909759521484,0.0117063522338867,0.0089645385742187,0.0038801455030254,0.0045299530029296,0.0,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.496,1.36,26.016,14.72,0.0,0.0,144.344,32.015085220336914,32.015085220336914,3294.224,1
146,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070687567833626,0.0090599060058593,0.006103515625,0.0084877014160156,0.0071525573730468,0.0102043151855468,0.0041313469409942,0.0051736831665039,0.0068187713623046,0.0081062316894531,0.0107288360595703,0.0107288360595703,0.0109672546386718,0.0209331512451171,0.496,1.424,6.448,6.224,4.232,3.744,118.448,32.01746940612793,32.01746940612793,680.752,1
147,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066519969731421,0.0083446502685546,0.0060200691223144,0.0070095062255859,0.0069141387939453,0.0089645385742187,0.0047683715820312,0.005197525024414,0.005960464477539,0.0075340270996093,0.0143051147460937,0.0143051147460937,0.0112056732177734,0.0214099884033203,0.496,1.424,5.6,6.512,4.232,3.744,113.256,32.01103210449219,32.01103210449219,7.32,1
148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066113471984863,0.0083446502685546,0.0086307525634765,0.0060200691223144,0.0125885009765625,0.0069618225097656,0.0,0.0,0.0058412551879882,0.007796287536621,0.0081062316894531,0.0081062316894531,0.0110864639282226,0.0283718109130859,0.496,1.36,6.096,5.728,11.44,12.536,112.0,32.01794624328613,32.01794624328613,0.0,1
149,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068598454541499,0.0085830688476562,0.0055631001790364,0.005960464477539,0.0061988830566406,0.0083446502685546,0.003870386276802,0.0046253204345703,0.005960464477539,0.0078201293945312,0.0369548797607421,0.0369548797607421,0.0124454498291015,0.0250816345214843,0.496,1.424,9.856,10.176,4.232,3.744,122.384,32.01127052307129,32.01127052307129,1527.08,1
150,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068598454541499,0.0085830688476562,0.0060558319091796,0.0080108642578125,0.0072479248046875,0.009918212890625,0.003870386276802,0.0046253204345703,0.0064373016357421,0.0088453292846679,0.0088214874267578,0.0088214874267578,0.0112533569335937,0.0294208526611328,0.496,1.36,6.448,6.224,7.736,8.264,122.384,32.010793685913086,32.010793685913086,1527.08,1
151,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068598454541499,0.0085830688476562,0.007033348083496,0.0074386596679687,0.0094175338745117,0.0086307525634765,0.003870386276802,0.0046253204345703,0.0,0.0,0.0145435333251953,0.0145435333251953,0.0,0.0,0.496,1.36,5.6,6.512,0.0,0.0,122.384,32.01103210449219,32.01103210449219,1527.08,1
152,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067960982229195,0.0083446502685546,0.0066280364990234,0.0082850456237792,0.0087738037109375,0.0108718872070312,0.003858740106592,0.0045299530029296,0.0057220458984375,0.0073432922363281,0.0073909759521484,0.0073909759521484,0.0113964080810546,0.0219345092773437,0.496,1.424,6.096,5.728,4.232,3.744,128.832,32.01651573181152,32.01651573181152,4509.504,1
