time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062763690948486,0.0085830688476562,0.0051259994506835,0.0058889389038085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,1.36,115.4,0.0,0.0,0.0,0.0104904174804687,0.0104904174804687,0.0066757202148437,0.0066757202148437,36.336,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060802668481323,0.0081062316894531,0.00509950849745,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,1.36,114.552,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,0.00762939453125,0.00762939453125,41.36,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060442650672232,0.0081062316894531,0.0051116943359375,0.005960464477539,0.0,0.0,0.0058412551879882,0.0,0.0,0.0066280364990234,0.011444091796875,0.0216960906982421,0.0,0.496,0.0,0.0,1.36,115.968,4.272,3.704,0.0,0.0066757202148437,0.0066757202148437,0.0066757202148437,0.0066757202148437,64.936,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006174096966734,0.0081062316894531,0.0048650277627481,0.0055789947509765,0.0,0.0,0.0061988830566406,0.0,0.0,0.0080585479736328,0.0115871429443359,0.0216960906982421,0.0,0.496,0.0,0.0,1.36,115.6,3.744,4.232,0.0,0.0069141387939453,0.0069141387939453,0.009775161743164,0.009775161743164,132.808,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059226951976813,0.0081062316894531,0.0048914263325352,0.0054836273193359,0.0,0.0,0.0063657760620117,0.0,0.0,0.0088691711425781,0.010228157043457,0.0245571136474609,0.0,0.496,0.0,0.0,1.36,115.792,8.264,7.736,0.0,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0083446502685546,67.016,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062166754879168,0.0085830688476562,0.0047354862607758,0.005340576171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,1.36,114.344,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0095367431640625,0.0095367431640625,64.84,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061739736528538,0.0081062316894531,0.0052524335456616,0.0061988830566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,1.36,114.344,0.0,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0073909759521484,0.0073909759521484,73.912,0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063364778585101,0.0085830688476562,0.0047783056894938,0.0057458877563476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.0,1.36,114.648,0.0,0.0,0.0,0.0140666961669921,0.0140666961669921,0.0069141387939453,0.0069141387939453,57.84,0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060529851201754,0.0081062316894531,0.0053832405491879,0.0063896179199218,0.0,0.0,0.0061988830566406,0.0,0.0,0.0077247619628906,0.0103473663330078,0.0193595886230468,0.0,0.496,0.0,0.0,1.36,115.224,3.744,4.232,0.0,0.0081062316894531,0.0081062316894531,0.0090599060058593,0.0090599060058593,47.848,0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006248701864214,0.0083446502685546,0.0055753267728365,0.0061511993408203,0.0,0.0,0.0059127807617187,0.0,0.0,0.007486343383789,0.010538101196289,0.0203609466552734,0.0,0.496,0.0,0.0,1.36,113.256,3.744,4.232,0.0,0.0112056732177734,0.0112056732177734,0.0066757202148437,0.0066757202148437,33.672,0
