time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,F-node
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0060589159306009,0.0078678131103515,0.0071287155151367,0.0060796737670898,0.0109672546386718,0.0115394592285156,0.0071525573730468,0.0071525573730468,0.0071525573730468,0.0098228454589843,0.0109672546386718,0.0203609466552734,0.0,0.0,1.344,2.208,0.0,0.0,3.744,4.232,113.256,0.0,0.0,1.192,0.0,0.0,0.0,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0057054396292463,0.00762939453125,0.005960464477539,0.005960464477539,0.0126361846923828,0.0126361846923828,0.0062227249145507,0.0085830688476562,0.0085830688476562,0.0086069107055664,0.0104665756225585,0.0242233276367187,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,113.256,0.0,0.0,1.192,0.0,0.0,0.0,0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0060019801505169,0.0083446502685546,0.0057220458984375,0.0057220458984375,0.0066757202148437,0.0066757202148437,0.0,0.0050067901611328,0.0050067901611328,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0.0,0.0,0.0,0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0060584285471699,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.0123977661132812,0.0123977661132812,0.0,0.0071525573730468,0.0090599060058593,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,118.16,0.0,0.0,5.584,0.0,0.0,0.0,0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0060176849365234,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0061786174774169,0.0083684921264648,0.0064373016357421,0.0064373016357421,0.0078678131103515,0.0078678131103515,0.0063419342041015,0.0,0.0,0.0082015991210937,0.0115871429443359,0.0217914581298828,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0061614840638403,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0073909759521484,0.0073909759521484,0.0064373016357421,0.0064373016357421,0.0076770782470703,0.0084400177001953,0.0115394592285156,0.0220298767089843,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,128.448,0.0,0.0,23.064,0.0,0.0,0.0,0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0062047554354362,0.0085830688476562,0.00762939453125,0.00762939453125,0.0171661376953125,0.0171661376953125,0.0058650970458984,0.0062783559163411,0.0081062316894531,0.0081539154052734,0.0104427337646484,0.0240087509155273,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,123.64,0.0,0.0,30.912,0.0,0.0,0.0,0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0061395749523865,0.0083446502685546,0.00762939453125,0.00762939453125,0.0090599060058593,0.0090599060058593,0.0,0.0057220458984375,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0.0,0.0,0.0,0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.006133644141961,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0081062316894531,0.0081062316894531,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0.0,0.0,0.0,0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0061500072479248,0.0081300735473632,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0060427188873291,0.0085830688476562,0.0088214874267578,0.0088214874267578,0.00762939453125,0.00762939453125,0.0067949295043945,0.0,0.0,0.0088453292846679,0.0105698903401692,0.0181198120117187,0.0,0.0,0.496,1.36,0.0,0.0,4.272,3.704,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.005958080291748,0.0083684921264648,0.0069141387939453,0.0069141387939453,0.011444091796875,0.011444091796875,0.0055432319641113,0.0,0.0,0.005960464477539,0.0103712081909179,0.0183582305908203,0.0,0.0,0.496,1.36,0.0,0.0,4.272,3.704,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0060704147931441,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0102519989013671,0.0102519989013671,0.0065326690673828,0.0061988830566406,0.0083446502685546,0.0084161758422851,0.0106096267700195,0.0241994857788085,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,139.216,0.0,0.0,30.16,0.0,0.0,0.0,0
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0059379273979224,0.00762939453125,0.0088214874267578,0.0088214874267578,0.0100135803222656,0.0100135803222656,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0.0,0.0,0.0,0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0059924908538362,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0107288360595703,0.0107288360595703,0.0,0.0050067901611328,0.0050067901611328,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0.0,0.0,0.0,0
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0059580921533688,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.00762939453125,0.00762939453125,0.0,0.0047683715820312,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0.0,0.0,0.0,0
