time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,F-node
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0073126892545329,0.009775161743164,0.0107288360595703,0.0107288360595703,0.0109672546386718,0.0109672546386718,0.0042746229529878,0.0060558319091796,0.0050067901611328,0.0075817108154296,0.0102519989013671,0.0188827514648437,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,117.192,0.0,12520.048,0.0,0.0,0.0,0.0,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006924814252711,0.009775161743164,0.0100135803222656,0.0100135803222656,0.0119209289550781,0.0119209289550781,0.0044103791589766,0.0063313378228081,0.0052452087402343,0.0077724456787109,0.0098185105757279,0.0240802764892578,0.0,0.0,0.496,1.36,0.0,0.0,8.792,7.208,117.192,0.0,5532.72,0.0,0.0,0.0,0.0,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006190579922045,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0102519989013671,0.0102519989013671,0.0044277736118861,0.0,0.0053882598876953,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,220.376,0.0,0.0,0.0,0.0,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062590778464137,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0138282775878906,0.0138282775878906,0.0046516458193461,0.0,0.0058412551879882,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,123.08,0.0,797.152,0.0,0.0,0.0,0.0,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059984216642616,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0116825103759765,0.0116825103759765,0.0050067901611328,0.0,0.0050067901611328,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.848,0.0,0.0,113.256,100.0,1.192,0.0100135803222656,0.0100135803222656,0.0,0.0,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061488151550292,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0071525573730468,0.0071525573730468,0.0,0.0060081481933593,0.0,0.0078201293945312,0.0109195709228515,0.0206470489501953,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059998035430908,0.0076532363891601,0.00762939453125,0.00762939453125,0.011444091796875,0.011444091796875,0.0,0.0059127807617187,0.0,0.007486343383789,0.0107288360595703,0.0202178955078125,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060629844665527,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0102519989013671,0.0102519989013671,0.0,0.0067710876464843,0.0,0.0085830688476562,0.0109672546386718,0.0242233276367187,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058615207672119,0.0076532363891601,0.0073909759521484,0.0073909759521484,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060921284689832,0.0083446502685546,0.0104904174804687,0.0104904174804687,0.013589859008789,0.013589859008789,0.0090599060058593,0.0,0.0090599060058593,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,100.0,1.192,0.0,0.0,0.0,0.0,1
