time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061786174774169,0.0081300735473632,0.0092983245849609,0.0092983245849609,0.009775161743164,0.009775161743164,0.0,0.0143051147460937,0.0,0.014662742614746,0.0200271606445312,0.0197172164916992,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059974193572998,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063724888181223,0.0088214874267578,0.0095367431640625,0.0095367431640625,0.0066757202148437,0.0066757202148437,0.0073909759521484,0.0,0.0092506408691406,0.0,0.0,0.0,0.0115394592285156,0.0216960906982421,0.0039339065551757,0.0045299530029296,0.496,1.36,0.0,0.0,3.744,4.232,143.152,0.0,4725.76,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061011314392089,0.0083684921264648,0.0078678131103515,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0065088272094726,0.0,0.0092983245849609,0.0,0.0,0.0,0.011444091796875,0.0290870666503906,0.0,0.0,0.496,1.424,0.0,0.0,7.488,8.464,112.0,0.0,0.0,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060126556092826,0.00762939453125,0.0092983245849609,0.0092983245849609,0.0176429748535156,0.0176429748535156,0.0065485636393229,0.0,0.0088691711425781,0.0,0.0,0.0,0.010999043782552,0.0260353088378906,0.0061988830566406,0.0061988830566406,0.496,1.36,0.0,0.0,12.008,11.968,113.256,0.0,1.192,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061764575467251,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0116825103759765,0.0116825103759765,0.0062227249145507,0.0,0.008392333984375,0.0,0.0,0.0,0.0126600265502929,0.0280380249023437,0.0039036594220061,0.0045299530029296,0.496,1.424,0.0,0.0,8.264,7.736,123.08,0.0,3682.472,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060980592794086,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060391426086425,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061094760894775,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0123977661132812,0.0123977661132812,0.0070095062255859,0.0,0.0084400177001953,0.0,0.0,0.0,0.0123977661132812,0.0231742858886718,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063347816467285,0.0090599060058593,0.00762939453125,0.00762939453125,0.0054836273193359,0.0054836273193359,0.0061750411987304,0.0,0.0085830688476562,0.0,0.0,0.0,0.0113487243652343,0.028848648071289,0.0,0.0,0.496,1.36,0.0,0.0,7.488,8.464,112.0,0.0,0.0,0
