time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
96,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0060850114964727,0.0083446502685546,0.0070571899414062,0.0079870223999023,0.008392333984375,0.0100612640380859,0.0056743621826171,0.0078678131103515,0.0078678131103515,0.0069618225097656,0.0109672546386718,0.0131130218505859,0.0131130218505859,0.0213623046875,0,0.496,1.36,5.6,6.512,3.744,4.232,113.256,1674.0119457244873,1674.0119457244873,1.192,1
97,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0061300856557058,0.0081062316894531,0.00762939453125,0.0078201293945312,0.0103473663330078,0.0108242034912109,0.0059127807617187,0.005960464477539,0.005960464477539,0.0074386596679687,0.0117301940917968,0.0,0.0,0.02288818359375,0,0.0,0.0,6.096,5.728,3.744,4.232,113.256,0.0,0.0,1.192,1
98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0061070919036865,0.0083446502685546,0.0078678131103515,0.0070730845133463,0.0096559524536132,0.0090599060058593,0.0060399373372395,0.0,0.0,0.008249282836914,0.0109036763509114,0.013589859008789,0.013589859008789,0.02899169921875,0,0.496,2.416,9.856,10.176,12.008,11.968,112.0,1674.020767211914,1674.020767211914,0.0,1
99,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0062285371087676,0.0083446502685546,0.0079870223999023,0.0076889991760253,0.0087499618530273,0.0103235244750976,0.0060796737670898,0.0046491622924804,0.0062227249145507,0.0066995620727539,0.0108877817789713,0.0,0.0,0.0199079513549804,0,0.0,0.0,5.6,5.728,4.272,3.704,117.192,0.0,0.0,41.52,1
100,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0060510635375976,0.0081300735473632,0.007033348083496,0.0062942504882812,0.0091791152954101,0.0091075897216796,0.0062227249145507,0.0,0.0,0.0081300735473632,0.0104665756225585,0.0116825103759765,0.0116825103759765,0.0264406204223632,0,0.496,2.416,6.448,7.008,8.264,7.736,112.0,1674.0102767944336,1674.0102767944336,0.0,1
101,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0058662891387939,0.0078916549682617,0.0076889991760253,0.0065326690673828,0.0088691711425781,0.008249282836914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.096,5.728,0.0,0.0,112.0,0.0,0.0,0.0,1
102,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0060684052272815,0.0078678131103515,0.0081062316894531,0.0066757202148437,0.0112056732177734,0.0094175338745117,0.0055789947509765,0.0083446502685546,0.0083446502685546,0.0071525573730468,0.0110626220703125,0.0128746032714843,0.0128746032714843,0.0216960906982421,0,0.496,2.352,9.856,10.176,3.744,4.232,113.256,1674.013614654541,1674.013614654541,1.192,1
103,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0061241548452804,0.0081062316894531,0.0063896179199218,0.0070571899414062,0.0073432922363281,0.0094413757324218,0.0058650970458984,0.0064373016357421,0.0064373016357421,0.0076770782470703,0.01068115234375,0.0,0.0,0.020599365234375,0,0.0,0.0,6.448,6.224,3.744,4.232,113.256,0.0,0.0,1.192,1
104,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0061965224766495,0.008559226989746,0.0078201293945312,0.0066757202148437,0.0098705291748046,0.0087499618530273,0.0065326690673828,0.0061988830566406,0.0067710876464843,0.008392333984375,0.010840098063151,0.0131130218505859,0.0131130218505859,0.0275135040283203,0,0.496,2.352,5.6,6.512,12.008,11.968,118.448,1674.0131378173828,1674.0131378173828,12.08,1
105,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0064442458662014,0.0088214874267578,0.0090599060058593,0.0091552734375,0.0112056732177734,0.0132560729980468,0.0060081481933593,0.0038987764433109,0.0045299530029296,0.0078678131103515,0.0117778778076171,0.0,0.0,0.0229835510253906,0,0.0,0.0,6.096,5.728,3.744,4.232,143.152,0.0,0.0,16145.96,1
106,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0074419809218069,0.009775161743164,0.00762939453125,0.0054836273193359,0.0083446502685546,0.0067949295043945,0.0061273574829101,0.0039116041027512,0.0045299530029296,0.0085830688476562,0.011754035949707,0.0145435333251953,0.0145435333251953,0.0295400619506835,0,0.496,2.416,9.856,10.176,8.264,7.736,117.192,1674.0143299102783,1674.0143299102783,41836.448,1
107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0075078010559082,0.0097990036010742,0.0078678131103515,0.0063419342041015,0.0098705291748046,0.0098228454589843,0.0,0.0039090362249636,0.0045299530029296,0.0,0.0,0.013589859008789,0.013589859008789,0.0,0,0.496,2.48,6.448,6.224,0.0,0.0,116.632,1674.0105152130127,1674.0105152130127,27594.96,1
108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0076981919321847,0.009775161743164,0.007486343383789,0.0057816505432128,0.0090599060058593,0.0072002410888671,0.0061511993408203,0.0040755175904139,0.0052452087402343,0.0080108642578125,0.0110149383544921,0.0,0.0,0.0209808349609375,0,0.0,0.0,5.6,6.512,3.744,4.232,117.192,0.0,0.0,1612.92,1
109,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0068763695140876,0.0092983245849609,0.0076889991760253,0.0064373016357421,0.0094413757324218,0.0082015991210937,0.0071525573730468,0.0039078169800215,0.0046253204345703,0.0086784362792968,0.0109672546386718,0.0140666961669921,0.0140666961669921,0.0210285186767578,0,0.496,2.48,6.096,5.728,3.744,4.232,118.448,1674.0105152130127,1674.0105152130127,3316.04,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0073449446423218,0.0099897384643554,0.0085433324178059,0.005960464477539,0.0106096267700195,0.007033348083496,0.0061194101969401,0.0038937217594033,0.0045299530029296,0.008392333984375,0.0112533569335937,0.0,0.0,0.0294685363769531,0,0.0,0.0,9.856,10.176,12.008,11.968,118.448,0.0,0.0,48176.016,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0072788484025709,0.0099897384643554,0.0099658966064453,0.006723403930664,0.0122547149658203,0.0101089477539062,0.0061988830566406,0.0039157753219147,0.0045299530029296,0.0070810317993164,0.0110864639282226,0.0143051147460937,0.0143051147460937,0.0195503234863281,0,0.496,1.424,6.448,6.224,4.272,3.704,118.448,1674.0195751190186,1674.0195751190186,18849.712,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0068904155522436,0.0092983245849609,0.0070095062255859,0.0068545341491699,0.0079631805419921,0.0092744827270507,0.0059339735243055,0.0,0.0,0.006866455078125,0.0106204639781605,0.0,0.0,0.028848648071289,0,0.0,0.0,5.6,6.512,8.792,7.208,117.192,0.0,0.0,0.0,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.006415843963623,0.0088214874267578,0.007331371307373,0.006723403930664,0.0082015991210937,0.0080108642578125,0.0,0.0,0.0,0.0,0.0,0.0131130218505859,0.0131130218505859,0.0,0,0.496,2.48,6.096,5.728,0.0,0.0,112.0,1674.0140914916992,1674.0140914916992,0.0,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0063228607177734,0.0085830688476562,0.0071922938028971,0.0071128209431966,0.0078678131103515,0.008702278137207,0.006103515625,0.0,0.0,0.0076770782470703,0.0112056732177734,0.0,0.0,0.0218868255615234,0,0.0,0.0,9.856,10.176,3.744,4.232,112.0,0.0,0.0,0.0,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0069282325030547,0.0095367431640625,0.0071525573730468,0.0057816505432128,0.0085830688476562,0.0069379806518554,0.005960464477539,0.0038840735353141,0.0045299530029296,0.0077724456787109,0.0112533569335937,0.0131130218505859,0.0131130218505859,0.0220775604248046,0,0.496,2.416,5.6,5.728,3.744,4.232,127.576,1674.0148067474363,1674.0148067474363,29147.176,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0073553910895959,0.009775161743164,0.0075101852416992,0.005960464477539,0.0098943710327148,0.0069618225097656,0.0059264046805245,0.0039033064650759,0.0045299530029296,0.0080585479736328,0.0112801790237426,0.0,0.0,0.0302791595458984,0,0.0,0.0,6.448,7.008,12.536,11.44,117.192,0.0,0.0,46722.448,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0073343220323619,0.009775161743164,0.0096559524536132,0.0080585479736328,0.0113964080810546,0.012063980102539,0.0057220458984375,0.0039046147471564,0.0045299530029296,0.0072956085205078,0.0115871429443359,0.0128746032714843,0.0128746032714843,0.0231742858886718,0,0.496,2.48,6.096,5.728,3.744,4.232,118.448,1674.018621444702,1674.018621444702,39656.648,1
