time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,a1_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
103,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060081481933593,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0,0.005960464477539,0.009775161743164,0.009775161743164,0.0073909759521484,0.0,0.0,0.0,0.0,0.0101566314697265,0.018930435180664,0.0,0.496,1.424,0.0,0.0,0.0,3.744,4.232,112.0,0.0,0.0,1
104,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060174523330316,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0038773863465635,0.0045299530029296,0.0061988830566406,0.0073909759521484,0.0073909759521484,0.0078678131103515,0.0,0.0,0.0,0.0,0.012969970703125,0.0239849090576171,0.0,0.496,1.36,0.0,0.0,0.0,3.744,4.232,137.96,0.0,8019.544,1
105,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0072177962877264,0.0100135803222656,0.0100135803222656,0.0100135803222656,0.0038706619320934,0.0045299530029296,0.0063896179199218,0.0147819519042968,0.0147819519042968,0.0086069107055664,0.0,0.0,0.0,0.0,0.0113964080810546,0.0235795974731445,0.0,0.496,1.424,0.0,0.0,0.0,8.264,7.736,117.192,0.0,17904.16,1
106,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0057860986510319,0.0073909759521484,0.0085830688476562,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,113.256,0.0,1.192,1
107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060517989580904,0.0083446502685546,0.00762939453125,0.00762939453125,0.0057220458984375,0.0057220458984375,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,1.192,1
108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061253410073655,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0047683715820312,0.0047683715820312,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,1.192,1
109,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060843486411898,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0042418638865153,0.0057697296142578,0.006103515625,0.0128746032714843,0.0128746032714843,0.0077247619628906,0.0,0.0,0.0,0.0,0.0126361846923828,0.02288818359375,0.0,0.496,1.36,0.0,0.0,0.0,3.744,4.232,132.768,0.0,270.336,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059151649475097,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.0,0.006723403930664,0.0081062316894531,0.0081062316894531,0.0091552734375,0.0,0.0,0.0,0.0,0.0123977661132812,0.0224590301513671,0.0,0.496,1.424,0.0,0.0,0.0,3.744,4.232,112.0,0.0,0.0,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061619281768798,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0,0.0057697296142578,0.0073909759521484,0.0073909759521484,0.0078916549682617,0.0,0.0,0.0,0.0,0.0113964080810546,0.0241994857788085,0.0,0.496,1.36,0.0,0.0,0.0,8.264,7.736,112.0,0.0,0.0,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0065876345329096,0.0090599060058593,0.009775161743164,0.009775161743164,0.0038792829558323,0.0045299530029296,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,127.576,0.0,23218.448,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063877294559289,0.008559226989746,0.009775161743164,0.009775161743164,0.003904104232788,0.0045299530029296,0.0,0.0119209289550781,0.0119209289550781,0.0,0.0100135803222656,0.0052452087402343,0.0100135803222656,0.0052452087402343,0.0,0.0,0.0,0.496,1.424,0.0,0.848,0.848,0.0,0.0,118.448,0.0,963.68,1
