time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006234467919193,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0055517469133649,0.0,0.0,0.0065803527832031,0.0,0.0,0.0058650970458984,0.0073909759521484,0.0109672546386718,0.0109672546386718,0.0119686126708984,0.0221729278564453,0.496,0.0,1.424,0.0,0.0,0.0,114.296,3.744,4.232,0.0,16.168,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061051762519191,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0051718491774338,0.0,0.0,0.0059127807617187,0.0,0.0,0.0100569291548295,0.0202655792236328,0.0107288360595703,0.0107288360595703,0.0143766403198242,0.0274896621704101,0.496,1.0,1.424,1.0,0.0,0.0,114.328,8.36,8.264,16.666666666666664,29.016,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063542702897864,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0041170323148686,0.0,0.0,0.0051498413085937,0.0,0.0,0.0,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,117.192,0.0,0.0,16.666666666666664,2262.424,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064859342812305,0.0090599060058593,0.00762939453125,0.00762939453125,0.0040828003713735,0.0,0.0,0.0050067901611328,0.0,0.0,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,117.192,0.0,0.0,16.666666666666664,4840.912,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061729166767384,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0043710072835286,0.0,0.0,0.0054836273193359,0.0,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,115.52,0.0,0.0,16.666666666666664,367.16,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060968731173235,0.0083446502685546,0.0069379806518554,0.0060796737670898,0.0057220458984375,0.0,0.0,0.0071048736572265,0.0,0.0,0.0,0.0,0.0095367431640625,0.01220703125,0.0,0.0,1.344,0.0,2.272,0.0,0.0,0.0,113.256,0.0,0.0,100.0,17.576,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060695913893666,0.0081062316894531,0.00762939453125,0.00762939453125,0.0085830688476562,0.0,0.0,0.0085830688476562,0.0,0.0,0.0062942504882812,0.0085353851318359,0.0092983245849609,0.0092983245849609,0.0115394592285156,0.0185012817382812,0.496,0.0,1.392,1.0,0.0,0.0,113.256,3.744,4.232,0.0,1.192,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058424472808837,0.00762939453125,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0064373016357421,0.0084877014160156,0.0145435333251953,0.0145435333251953,0.0147342681884765,0.0279426574707031,0.496,0.0,1.36,1.0,0.0,0.0,112.0,3.744,4.232,16.666666666666664,0.0,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058960914611816,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,112.0,0.0,0.0,100.0,0.0,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006037950515747,0.0081062316894531,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0063939528031782,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0113964080810546,0.020909309387207,0.496,1.0,1.36,3.0,0.0,0.0,112.0,8.264,8.264,23.076923076923077,0.0,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058889389038085,0.0078916549682617,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,112.0,0.0,0.0,23.076923076923077,0.0,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0057042534671612,0.00762939453125,0.0071525573730468,0.0071525573730468,0.0085830688476562,0.0,0.0,0.0085830688476562,0.0,0.0,0.0,0.0,0.0121593475341796,0.0121593475341796,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,113.256,0.0,0.0,23.076923076923077,1.192,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.005988932367581,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0057220458984375,0.0,0.0,0.0057220458984375,0.0,0.0,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,113.256,0.0,0.0,23.076923076923077,1.192,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060079109609423,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0071525573730468,0.0,0.0,0.0071525573730468,0.0,0.0,0.0059127807617187,0.0072002410888671,0.011444091796875,0.011444091796875,0.0119209289550781,0.0219345092773437,0.496,0.0,1.36,0.0,0.0,0.0,113.256,3.744,4.232,0.0,1.192,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060224533081054,0.0078916549682617,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0150203704833984,0.0150203704833984,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,112.0,0.0,0.0,100.0,0.0,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061357021331787,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0,0.0070929527282714,0.0086784362792968,0.0069141387939453,0.0069141387939453,0.011146068572998,0.0166177749633789,0.496,0.0,1.36,1.0,0.0,0.0,112.0,3.216,3.704,33.33333333333333,0.0,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060665607452392,0.0081062316894531,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0,0.0,0.006943941116333,0.0101327896118164,0.0095367431640625,0.0095367431640625,0.014322144644601,0.0289678573608398,0.496,0.0,1.36,2.0,0.0,0.0,112.0,10.44,12.296,22.22222222222222,0.0,1
134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062000404283838,0.008702278137207,0.0069141387939453,0.0069141387939453,0.0044145281352694,0.0,0.0,0.0052452087402343,0.0,0.0,0.0071048736572265,0.0093460083007812,0.0100135803222656,0.0100135803222656,0.0121593475341796,0.021529197692871,0.496,0.0,1.36,2.0,0.0,0.0,143.152,8.072,7.28,9.090909090909092,933.088,1
135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006129245946903,0.0080823898315429,0.0069141387939453,0.0069141387939453,0.0043186274441805,0.0,0.0,0.0054121017456054,0.0,0.0,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,118.448,0.0,0.0,9.090909090909092,357.568,1
136,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060067247988572,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.0050067901611328,0.0,0.0,0.0050067901611328,0.0,0.0,0.0,0.0,0.0061988830566406,0.0061988830566406,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,113.256,0.0,0.0,9.090909090909092,1.192,1
137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060017746273833,0.0081062316894531,0.0102519989013671,0.0102519989013671,0.0064373016357421,0.0,0.0,0.0080108642578125,0.0,0.0,0.0,0.0,0.005960464477539,0.005960464477539,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,118.448,0.0,0.0,9.090909090909092,21.672,1
138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059994140473922,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0066757202148437,0.0,0.0,0.0076532363891601,0.0,0.0,0.0062465667724609,0.0075340270996093,0.0073909759521484,0.0073909759521484,0.0137090682983398,0.0247955322265625,0.496,0.0,1.36,0.0,0.0,0.0,116.976,3.216,4.232,20.0,8.704,1
139,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062890313751068,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0050067901611328,0.0,0.0,0.0061750411987304,0.0,0.0,0.0061988830566406,0.0082969665527343,0.0116825103759765,0.0116825103759765,0.0112533569335937,0.0208377838134765,0.496,0.0,1.424,0.0,0.0,0.0,114.28,3.744,4.232,0.0,45.712,1
140,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061583518981933,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0046968460083007,0.0,0.0,0.0054836273193359,0.0,0.0,0.0060081481933593,0.0075817108154296,0.0126361846923828,0.0126361846923828,0.0115871429443359,0.0207424163818359,0.496,0.0,1.424,0.0,0.0,0.0,112.0,3.744,4.232,16.666666666666664,41.728,1
141,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059331827495821,0.0081062316894531,0.00762939453125,0.00762939453125,0.0049591064453125,0.0,0.0,0.005507469177246,0.0,0.0,0.0071525573730468,0.0089168548583984,0.0104904174804687,0.0104904174804687,0.0110626220703125,0.0177860260009765,0.496,0.0,1.424,1.0,0.0,0.0,114.328,4.52,3.504,0.0,22.144,1
142,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062649792963915,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0060558319091796,0.0067353248596191,0.0087499618530273,0.0070571899414062,0.0073644849989149,0.0091075897216796,0.0,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0,0.496,0.0,1.424,0.0,10.752,24.592,115.584,0.0,0.0,0.0,10.008,1
143,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059557433175568,0.0080823898315429,0.0088214874267578,0.0088214874267578,0.0051259994506835,0.0,0.0,0.0052213668823242,0.0,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,115.648,0.0,0.0,0.0,3.296,1
144,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060180137897359,0.0081062316894531,0.0095367431640625,0.0095367431640625,0.0061392784118652,0.0,0.0,0.0076770782470703,0.0,0.0,0.0,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,119.48,0.0,0.0,0.0,17.808,1
145,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064184169958133,0.0090599060058593,0.0073909759521484,0.0073909759521484,0.0051392449273003,0.0065267086029052,0.0071525573730468,0.0060319900512695,0.0070465935601128,0.0089168548583984,0.0,0.0,0.0178813934326171,0.0178813934326171,0.0,0.0,0.496,0.0,1.424,0.0,21.856,13.648,115.304,0.0,0.0,100.0,45.28,1
146,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061738491058349,0.0081300735473632,0.0085830688476562,0.0085830688476562,0.0059207280476888,0.0073909759521484,0.0073909759521484,0.0075101852416992,0.0,0.0,0.0054836273193359,0.0062942504882812,0.0126361846923828,0.0126361846923828,0.0107884407043457,0.0176191329956054,0.496,0.0,1.424,1.0,0.496,0.0,112.0,3.216,3.704,20.0,23.392,1
147,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063222439134891,0.0083446502685546,0.0095367431640625,0.0095367431640625,0.0041318595956224,0.0,0.0,0.0050067901611328,0.0,0.0,0.0071128209431966,0.0103712081909179,0.0102519989013671,0.0102519989013671,0.0117421150207519,0.0171422958374023,0.496,1.0,1.84,1.0,0.0,0.0,120.88,5.424,4.76,0.0,998.936,1
148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0070908769446225,0.0092983245849609,0.0083446502685546,0.0083446502685546,0.0041670162185483,0.0,0.0,0.0050067901611328,0.0,0.0,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0,0.496,0.0,1.84,0.0,0.0,0.0,117.192,0.0,0.0,100.0,2068.712,1
149,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0070734779433448,0.0090599060058593,0.0090599060058593,0.0090599060058593,0.0046456561369054,0.0,0.0,0.0057220458984375,0.0,0.0,0.0063578287760416,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0112737928118024,0.0201225280761718,0.496,0.0,1.84,1.0,0.0,0.0,116.224,4.864,4.824,12.5,389.584,1
150,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0068038257200326,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0042450733673878,0.0,0.0,0.0053882598876953,0.0,0.0,0.0072121620178222,0.0091552734375,0.0121593475341796,0.0121593475341796,0.0125567118326822,0.0187873840332031,0.496,0.0,1.84,1.0,0.0,0.0,113.256,3.4,2.912,0.0,1722.712,1
151,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0068201807332156,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0048244700712316,0.0,0.0,0.0061988830566406,0.0,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.496,0.0,1.84,0.0,0.0,0.0,123.64,0.0,0.0,0.0,244.672,1
152,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0071098555379839,0.0092983245849609,0.0069141387939453,0.0069141387939453,0.004566851116362,0.0,0.0,0.0057935714721679,0.0,0.0,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.496,0.0,1.84,0.0,0.0,0.0,115.032,0.0,0.0,0.0,844.048,1
153,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0072367748810877,0.0095367431640625,0.0090837478637695,0.0072717666625976,0.0041888701958164,0.0,0.0,0.0050067901611328,0.0,0.0,0.0,0.0,0.0095367431640625,0.0116348266601562,0.0,0.0,1.344,0.0,2.688,0.0,0.0,0.0,117.192,0.0,0.0,0.0,4406.672,1
