time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059652091258793,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0052452087402343,0.0069141387939453,0.0052452087402343,0.0069141387939453,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.36,0.848,0.848,113.256,25.152,27.344,0.0071525573730468,0.0071525573730468,1.192,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059545336671136,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.005960464477539,0.0061988830566406,0.005960464477539,0.0061988830566406,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.36,0.848,0.848,113.256,25.152,27.344,0.0071525573730468,0.0071525573730468,1.192,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058371445228313,0.0078678131103515,0.0088214874267578,0.0088214874267578,0.0049471855163574,0.0078678131103515,0.0059127807617187,0.0078678131103515,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.424,0.848,0.848,120.792,25.152,27.344,0.0071525573730468,0.0071525573730468,20.656,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059498941957069,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.005340576171875,0.0085830688476562,0.0070571899414062,0.0085830688476562,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.424,0.848,0.848,122.664,25.152,27.344,0.0071525573730468,0.0071525573730468,33.432,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058591365814208,0.0078916549682617,0.005960464477539,0.005960464477539,0.0,0.0064373016357421,0.0,0.0064373016357421,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.36,0.848,0.848,112.0,25.152,27.344,0.0071525573730468,0.0071525573730468,0.0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059924908538362,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0085830688476562,0.0095367431640625,0.0085830688476562,0.0095367431640625,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.36,0.848,0.848,115.496,25.152,27.344,0.0071525573730468,0.0071525573730468,3.208,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058488892804225,0.0078201293945312,0.0069141387939453,0.0069141387939453,0.005197525024414,0.0143051147460937,0.007486343383789,0.0143051147460937,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.424,0.848,0.848,123.16,25.152,27.344,0.0071525573730468,0.0071525573730468,36.504,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059344980976369,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0051259994506835,0.0088214874267578,0.0057935714721679,0.0088214874267578,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.424,0.848,0.848,116.016,25.152,27.344,0.0071525573730468,0.0071525573730468,3.664,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057810603982151,0.00762939453125,0.0071525573730468,0.0071525573730468,0.0065565109252929,0.0069141387939453,0.0072240829467773,0.0069141387939453,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.424,0.848,0.848,115.6,25.152,27.344,0.0071525573730468,0.0071525573730468,3.248,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059758845846451,0.0085830688476562,0.00762939453125,0.00762939453125,0.005960464477539,0.0100135803222656,0.005960464477539,0.0100135803222656,0.0066348484584263,0.0073909759521484,0.0073909759521484,0.0087261199951171,0.0096457345145089,0.0204086303710937,0.496,1.36,0.848,0.848,113.256,25.152,27.344,0.0071525573730468,0.0071525573730468,1.192,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060074435079039,0.0080585479736328,0.0102519989013671,0.0102519989013671,0.005340576171875,0.0092983245849609,0.0068664550781249,0.0092983245849609,0.0066995620727539,0.0073909759521484,0.0073909759521484,0.0093698501586914,0.0125408172607421,0.0296354293823242,0.496,1.424,0.848,0.848,122.616,8.264,7.736,0.0071525573730468,0.0071525573730468,38.288,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058228696756695,0.0078678131103515,0.0088214874267578,0.0088214874267578,0.0073909759521484,0.0081062316894531,0.0073909759521484,0.0081062316894531,0.0060081481933593,0.0073909759521484,0.0073909759521484,0.0086784362792968,0.0107526779174804,0.025486946105957,0.496,1.424,0.848,0.848,114.36,8.264,7.736,0.0071525573730468,0.0071525573730468,2.072,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058869224282639,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.005340576171875,0.0090599060058593,0.006723403930664,0.0090599060058593,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.496,1.424,0.848,0.848,114.52,0.0,0.0,0.0071525573730468,0.0071525573730468,10.984,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057733058929443,0.00762939453125,0.0073909759521484,0.0073909759521484,0.0,0.0071525573730468,0.0,0.0071525573730468,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.496,1.36,0.848,0.848,112.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0
