time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0059391135600075,0.0066757202148437,0.0066757202148437,0.0081062316894531,0.0081062316894531,0.0069618225097656,0.0,0.0,0.0,0.0,0.0085830688476562,0.0119686126708984,0.0235557556152343,0.0045299530029296,0.0045299530029296,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,1.192,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0057754231922662,0.0069141387939453,0.0069141387939453,0.0085830688476562,0.0085830688476562,0.006103515625,0.0,0.0,0.0,0.0,0.0081062316894531,0.0111103057861328,0.0281810760498046,0.0081062316894531,0.0081062316894531,0.496,1.36,0.0,0.0,11.968,12.008,113.256,0.0,1.192,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0062154893258317,0.0060796737670898,0.0061750411987304,0.0085830688476562,0.01068115234375,0.006103515625,0.0,0.0,0.0,0.0,0.0078678131103515,0.0110626220703125,0.0217914581298828,0.0047286351521809,0.0065565109252929,1.344,2.208,0.0,0.0,4.232,3.744,117.192,0.0,63.664,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0062154893258317,0.0071525573730468,0.0071525573730468,0.0145435333251953,0.0145435333251953,0.0062465667724609,0.0,0.0,0.0,0.0,0.0089883804321289,0.0103712081909179,0.0261783599853515,0.0047286351521809,0.0065565109252929,0.496,1.424,0.0,0.0,7.736,8.264,117.192,0.0,63.664,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0062154893258317,0.0066757202148437,0.0066757202148437,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047286351521809,0.0065565109252929,0.496,1.36,0.0,0.0,0.0,0.0,117.192,0.0,63.664,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0062154893258317,0.0083446502685546,0.0083446502685546,0.0092983245849609,0.0092983245849609,0.0066757202148437,0.0,0.0,0.0,0.0,0.008249282836914,0.012063980102539,0.0252723693847656,0.0047286351521809,0.0065565109252929,0.496,1.36,0.0,0.0,4.232,3.744,117.192,0.0,63.664,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0059865600434108,0.0073909759521484,0.0073909759521484,0.0088214874267578,0.0088214874267578,0.0071525573730468,0.0,0.0,0.0,0.0,0.0089168548583984,0.0109672546386718,0.0206470489501953,0.0095367431640625,0.0095367431640625,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,1.192,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0060541712822605,0.0071525573730468,0.0071525573730468,0.0100135803222656,0.0100135803222656,0.0059286753336588,0.0,0.0,0.0,0.0,0.0081062316894531,0.0107288360595703,0.0277042388916015,0.0085830688476562,0.0085830688476562,0.496,1.36,0.0,0.0,11.968,12.008,113.256,0.0,1.192,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0059557198291987,0.0083446502685546,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.0055789947509765,0.0,0.0,0.0,0.0,0.0070095062255859,0.0111103057861328,0.0218868255615234,0.0047683715820312,0.0047683715820312,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,1.192,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0059616565704345,0.0119209289550781,0.0119209289550781,0.0071525573730468,0.0071525573730468,0.0056743621826171,0.0,0.0,0.0,0.0,0.0081539154052734,0.0106096267700195,0.0272750854492187,0.0,0.0,0.496,1.36,0.0,0.0,7.736,8.264,112.0,0.0,0.0,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0060069561004638,0.0069141387939453,0.0069141387939453,0.0057220458984375,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083684921264648,0.0060486793518066,0.0071525573730468,0.0071525573730468,0.0133514404296875,0.0133514404296875,0.0058650970458984,0.0,0.0,0.0,0.0,0.0073432922363281,0.0110149383544921,0.0215530395507812,0.0,0.0,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0058519840240478,0.0071525573730468,0.0071525573730468,0.0138282775878906,0.0138282775878906,0.0053882598876953,0.0,0.0,0.0,0.0,0.0067710876464843,0.0104427337646484,0.0201225280761718,0.0,0.0,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0060909423068981,0.0064373016357421,0.0064373016357421,0.0069141387939453,0.0069141387939453,0.0059763590494791,0.0,0.0,0.0,0.0,0.0081062316894531,0.0107924143473307,0.026702880859375,0.007033348083496,0.0088453292846679,0.496,1.36,0.0,0.0,11.968,12.008,113.256,0.0,4.704,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0059486615775835,0.0073909759521484,0.0073909759521484,0.009775161743164,0.009775161743164,0.0056743621826171,0.0042915344238281,0.0107288360595703,0.0107288360595703,0.0042915344238281,0.0070095062255859,0.0116348266601562,0.0216960906982421,0.0057220458984375,0.0057220458984375,0.496,1.424,0.848,0.848,4.232,3.744,117.056,0.0,1.192,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.006086133383765,0.0073909759521484,0.0073909759521484,0.0131130218505859,0.0131130218505859,0.0060081481933593,0.0123977661132812,0.0069141387939453,0.0069141387939453,0.0123977661132812,0.0081300735473632,0.0105142593383789,0.026702880859375,0.0073909759521484,0.0073909759521484,0.496,1.36,0.848,0.848,7.736,8.264,119.384,0.0,6.744,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0060164928436279,0.0102519989013671,0.0102519989013671,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00762939453125,0.0059175491333007,0.0066757202148437,0.0066757202148437,0.0119209289550781,0.0119209289550781,0.0055313110351562,0.0,0.0,0.0,0.0,0.0072002410888671,0.0109195709228515,0.0220298767089843,0.0,0.0,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0060820579528808,0.0102519989013671,0.0102519989013671,0.0119209289550781,0.0119209289550781,0.0058650970458984,0.0,0.0,0.0,0.0,0.0073909759521484,0.010538101196289,0.0202178955078125,0.0,0.0,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0058746337890625,0.0066757202148437,0.0066757202148437,0.0100135803222656,0.0100135803222656,0.006103515625,0.0,0.0,0.0,0.0,0.0081062316894531,0.0110626220703125,0.0281810760498046,0.0,0.0,0.496,1.36,0.0,0.0,11.968,12.008,112.0,0.0,0.0,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.006061288254771,0.0092983245849609,0.0092983245849609,0.0071525573730468,0.0071525573730468,0.0056266784667968,0.0,0.0,0.0,0.0,0.0071525573730468,0.0107288360595703,0.0203132629394531,0.0052452087402343,0.0052452087402343,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,1.192,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008559226989746,0.0061032795670008,0.0069141387939453,0.0069141387939453,0.0107288360595703,0.0107288360595703,0.0058412551879882,0.0,0.0,0.0,0.0,0.0082015991210937,0.0112533569335937,0.0293970108032226,0.0067551930745442,0.0085353851318359,0.496,1.36,0.0,0.0,7.736,8.264,120.68,0.0,8.6,0
