time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_packet_loss_ul_percentage,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_latency_mean_ul_ms,a1_packet_loss_dl_percentage,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
105,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0064611434936523,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0131607055664062,0.0218391418457031,0.0,0.496,1.0,1.36,2.0,0.0,0.0,3.84,4.76,112.0,0.0071922938028971,28.57142857142857,0.010848045349121,0.0,1
106,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.006645917892456,0.0081062316894531,0.00762939453125,0.00762939453125,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.013589859008789,0.0262260437011718,0.0,0.496,1.0,1.36,2.0,0.0,0.0,4.368,4.76,112.0,0.008702278137207,33.33333333333333,0.0154972076416015,0.0,1
107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0065915027068028,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0133514404296875,0.0133514404296875,0.0052452087402343,0.0052452087402343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,1.0,0.0,0.0,0.0,0.0,113.256,0.0,100.0,0.0,1.192,1
108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0066135240637737,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0138282775878906,0.0138282775878906,0.0039505404095317,0.004744529724121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,1.0,0.0,0.0,0.0,0.0,144.408,0.0,100.0,0.0,1831.6,1
109,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0066463583208657,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0143051147460937,0.0143051147460937,0.0040254207572551,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.424,1.0,0.0,0.0,0.0,0.0,119.008,0.0,100.0,0.0,2143.376,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.006452876718799,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0102519989013671,0.0102519989013671,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.424,1.0,0.0,0.0,0.0,0.0,111.44,0.0,100.0,0.0,6.128,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0065867580584625,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0150203704833984,0.0150203704833984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.392,1.0,0.0,0.0,0.0,0.0,112.56,0.0,100.0,0.0,0.0,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0066033643276537,0.0083446502685546,0.009775161743164,0.009775161743164,0.0112056732177734,0.0112056732177734,0.0040183102127409,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,121.824,0.0,100.0,0.0,1527.08,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0065624713897705,0.0083446502685546,0.0057220458984375,0.0057220458984375,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0042915344238281,0.0119209289550781,0.0119209289550781,0.0042915344238281,0.0,0.0,0.0,0.496,0.0,1.424,1.0,0.848,0.848,0.0,0.0,112.0,0.0,100.0,0.0,0.0,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0065725241134415,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.005960464477539,0.005960464477539,0.0045299530029296,0.0045299530029296,0.0092983245849609,0.0042915344238281,0.0042915344238281,0.0092983245849609,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.848,0.848,0.0,0.0,113.256,0.0,100.0,0.0,1.192,1
