time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061976968945555,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0055176871163504,0.0061988830566406,0.005960464477539,0.005960464477539,0.0059971442589393,0.0,0.0,0.0080585479736328,0.0108971315271714,0.026702880859375,0.496,1.424,0.0,0.0,115.464,13.064,10.912,0.0,0.0,21.368,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061265271694505,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0056982040405273,0.007486343383789,0.0073909759521484,0.0073909759521484,0.0065565109252929,0.0,0.0,0.0091314315795898,0.0104904174804687,0.0246047973632812,0.496,1.424,0.0,0.0,114.264,8.264,7.736,0.0,0.0,22.976,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006234467919193,0.0083446502685546,0.0104904174804687,0.0104904174804687,0.0054096353465113,0.0065326690673828,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,114.296,0.0,0.0,0.0,0.0,66.168,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006133644141961,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0055101182725694,0.0064373016357421,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,114.296,0.0,0.0,0.0,0.0,30.04,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060301015872766,0.0083446502685546,0.0112056732177734,0.0112056732177734,0.0061648232596261,0.0089406967163085,0.009775161743164,0.009775161743164,0.0060558319091796,0.0,0.0,0.0077724456787109,0.0106334686279296,0.0203132629394531,0.496,1.424,0.0,0.0,116.496,3.744,4.232,0.0,0.0,34.992,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060914766670453,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0053928011939639,0.0066757202148437,0.0078678131103515,0.0078678131103515,0.0059127807617187,0.0,0.0,0.0081539154052734,0.0119447708129882,0.0294446945190429,0.496,1.424,0.0,0.0,116.368,7.488,8.464,0.0,0.0,53.256,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059758082474812,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0054836273193359,0.0063657760620117,0.0166893005371093,0.0166893005371093,0.0059922536214192,0.0,0.0,0.008249282836914,0.0106016794840494,0.0260829925537109,0.496,1.424,0.0,0.0,116.464,12.008,11.968,0.0,0.0,36.512,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063269885618295,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0054306454128689,0.0066757202148437,0.00762939453125,0.00762939453125,0.006413459777832,0.0,0.0,0.0082969665527343,0.0109195709228515,0.0256538391113281,0.496,1.424,0.0,0.0,114.6,8.264,7.736,650.0184535980225,650.0184535980225,46.864,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062664942954903,0.0085830688476562,0.0088214874267578,0.0088214874267578,0.0061723921034071,0.0067710876464843,0.0214576721191406,0.0214576721191406,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.496,1.424,0.848,0.848,114.504,0.0,0.0,0.0,0.0,24.056,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062012553808107,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0056385993957519,0.0068187713623046,0.0109672546386718,0.0109672546386718,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.496,1.424,0.848,0.848,114.552,0.0,0.0,650.0084400177002,650.0084400177002,49.6,1
