time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060277410072855,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0041881028343649,0.0147819519042968,0.0147819519042968,0.0047683715820312,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,122.384,0.0,0.0,0.0,0.0,0.0,1280.368,0
89,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064218044281005,0.0083684921264648,0.0092983245849609,0.0092983245849609,0.0040905467479302,0.0119209289550781,0.0119209289550781,0.0050067901611328,0.0,0.0,0.0,0.0,0.496,1.392,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,2982.536,0
90,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062465667724609,0.0083446502685546,0.0126361846923828,0.0126361846923828,0.0,0.0131130218505859,0.0131130218505859,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
91,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060045719146728,0.0081300735473632,0.0080347061157226,0.0077486038208007,0.0,0.0123977661132812,0.0131607055664062,0.0,0.0065803527832031,0.0084877014160156,0.0124931335449218,0.022745132446289,1.344,2.24,0.0,0.0,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
92,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060553574443456,0.0081062316894531,0.005960464477539,0.005960464477539,0.0088214874267578,0.00762939453125,0.00762939453125,0.0088214874267578,0.0062942504882812,0.0079154968261718,0.0113964080810546,0.0216960906982421,0.496,1.36,0.0,0.0,0.0,0.0,3.744,4.232,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061419472765566,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0045299530029296,0.0100135803222656,0.0100135803222656,0.0045299530029296,0.0062465667724609,0.0088214874267578,0.010538101196289,0.0252962112426757,0.496,1.36,0.0,0.0,0.0,0.0,8.264,7.736,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
94,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062197157480184,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0039984782536824,0.0143051147460937,0.0143051147460937,0.0047683715820312,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,139.216,0.0,0.0,0.0,0.0,0.0,3167.824,0
95,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060486793518066,0.0078916549682617,0.0085830688476562,0.0085830688476562,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
96,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063281747239146,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0058412551879882,0.0104904174804687,0.0104904174804687,0.0072717666625976,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,117.192,0.0,0.0,0.0,0.0,0.0,17.408,0
97,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061002270928744,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0047958814180814,0.0143051147460937,0.0143051147460937,0.0067949295043945,0.0066280364990234,0.0094413757324218,0.0119209289550781,0.0238418579101562,0.496,1.424,0.0,0.0,0.0,0.0,3.744,4.232,127.576,0.0,0.0,0.0,0.0,0.0,242.784,0
98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061988830566406,0.0088214874267578,0.0081062316894531,0.0081062316894531,0.0046888987223307,0.0069141387939453,0.0069141387939453,0.0060081481933593,0.0060558319091796,0.0077247619628906,0.0113487243652343,0.0213146209716796,0.496,1.424,0.0,0.0,0.0,0.0,3.744,4.232,114.6,0.0,0.0,0.0,0.0,0.0,300.392,0
99,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060814530102174,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0041604042053222,0.0085830688476562,0.0085830688476562,0.0054836273193359,0.0061988830566406,0.0086069107055664,0.0105857849121093,0.0252008438110351,0.496,1.424,0.0,0.0,0.0,0.0,8.264,7.736,113.256,0.0,0.0,0.0,0.0,0.0,780.016,0
100,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061834629495345,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0071525573730468,0.009775161743164,0.009775161743164,0.0071525573730468,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
101,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062245948641907,0.0087499618530273,0.0069141387939453,0.0069141387939453,0.0053346157073974,0.0071525573730468,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,123.664,0.0,0.0,0.0,0.0,0.0,72.032,0
102,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063020791580427,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0040382146835327,0.0178813934326171,0.0178813934326171,0.0050067901611328,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,117.192,0.0,0.0,0.0,0.0,0.0,2614.24,0
103,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063163131030637,0.0090599060058593,0.0085830688476562,0.0085830688476562,0.0039993262872463,0.0081062316894531,0.0081062316894531,0.0047683715820312,0.0063419342041015,0.0085353851318359,0.0107765197753906,0.0185966491699218,0.496,1.424,0.0,0.0,0.0,0.0,3.744,4.232,117.192,0.0,0.0,0.0,0.0,0.0,3054.064,0
104,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0065302848815917,0.0092983245849609,0.0071525573730468,0.0071525573730468,0.0041141510009765,0.0109672546386718,0.0109672546386718,0.0050067901611328,0.0066280364990234,0.0079154968261718,0.0111579895019531,0.0207424163818359,0.496,1.424,0.0,0.0,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0.0,1226.488,0
