time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066280364990234,0.0064373016357421,0.0064373016357421,0.0088214874267578,0.0109672546386718,0.0109672546386718,0.0108242034912109,0.0186920166015625,0.0083446502685546,0.0061249732971191,0.0,0.0,0.496,1.36,0.848,0.848,3.744,4.232,0.0,112.0,0.0128746032714843,0.011444091796875,0.0128746032714843,0.011444091796875,0.0,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062942504882812,0.0066757202148437,0.0066757202148437,0.0079154968261718,0.0095367431640625,0.0095367431640625,0.01220703125,0.0230312347412109,0.0078916549682617,0.0061309337615966,0.0,0.0,0.496,1.36,0.848,0.848,3.744,4.232,0.0,112.0,0.0045299530029296,0.0133514404296875,0.0045299530029296,0.0133514404296875,0.0,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006723403930664,0.0061988830566406,0.0061988830566406,0.0093698501586914,0.011444091796875,0.011444091796875,0.0109672546386718,0.0265121459960937,0.0078678131103515,0.006033182144165,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0061988830566406,0.0061988830566406,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0090599060058593,0.0063258023997444,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,1.192,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0054836273193359,0.0054836273193359,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0081062316894531,0.0060221449059633,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,1.192,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0061988830566406,0.0061988830566406,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0085830688476562,0.0061514365732373,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,1.192,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075340270996093,0.0069141387939453,0.0069141387939453,0.0094890594482421,0.0119209289550781,0.0119209289550781,0.01220703125,0.0225067138671875,0.0081062316894531,0.0059962272644042,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006103515625,0.0085830688476562,0.0085830688476562,0.0079631805419921,0.0109672546386718,0.0109672546386718,0.0104904174804687,0.0187397003173828,0.0083446502685546,0.0061762332916259,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070095062255859,0.0071525573730468,0.0071525573730468,0.0094175338745117,0.0083446502685546,0.0083446502685546,0.0111579895019531,0.0234842300415039,0.0083446502685546,0.0059378147125244,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061988830566406,0.0061988830566406,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0081062316894531,0.0061488151550292,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.005960464477539,0.005960464477539,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0081062316894531,0.0061490642490671,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,1.192,1
