time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
159,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062688666196604,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0050067901611328,0.0050067901611328,0.005960464477539,0.0123977661132812,0.0123977661132812,0.00762939453125,0.0,0.0107288360595703,0.0,0.0205039978027343,0.0,0.496,1.36,0.0,0.0,113.256,3.744,4.232,0.0,0.0,1.192,1
160,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060304480405589,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0050067901611328,0.0050067901611328,0.006421407063802,0.0143051147460937,0.0143051147460937,0.0086307525634765,0.0,0.0108242034912109,0.0,0.0274181365966796,0.0,0.496,1.36,0.0,0.0,113.256,12.008,11.968,0.0,0.0,1.192,1
161,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059948631780064,0.0078678131103515,0.0171661376953125,0.0171661376953125,0.0056028366088867,0.007033348083496,0.0059127807617187,0.0109672546386718,0.0109672546386718,0.0075817108154296,0.0,0.0120162963867187,0.0,0.0231742858886718,0.0,0.496,1.36,0.0,0.0,117.192,3.744,4.232,0.0,0.0,14.896,1
162,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064396390727922,0.0087499618530273,0.0061988830566406,0.0061988830566406,0.0041693342202025,0.0050067901611328,0.0058174133300781,0.0090599060058593,0.0090599060058593,0.0083684921264648,0.0,0.0102043151855468,0.0,0.0249862670898437,0.0,0.496,1.424,0.0,0.0,133.296,8.264,7.736,0.0,0.0,3005.624,1
163,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068643199863718,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0043442818970806,0.0054836273193359,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0073909759521484,0.0,0.0073909759521484,0.0,0.0,0.496,1.424,3.312,0.0,114.84,0.0,0.0,1067.009210586548,1067.009210586548,1081.128,1
164,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066187844347597,0.0090599060058593,0.0090599060058593,0.0090599060058593,0.0046002779075567,0.0057220458984375,0.0058174133300781,0.0066757202148437,0.0066757202148437,0.0073909759521484,0.0,0.010538101196289,0.0,0.0197887420654296,0.0,0.496,1.424,0.0,3.28,117.192,3.744,4.232,0.0,0.0,1081.592,1
165,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062826836463248,0.0083446502685546,0.0102519989013671,0.0102519989013671,0.0044206778208414,0.0054836273193359,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0126361846923828,0.0,0.0126361846923828,0.0,0.0,0.496,1.424,0.496,0.0,115.792,0.0,0.0,1067.009449005127,1067.009449005127,1426.24,1
166,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006197702766645,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0055965624357524,0.0070095062255859,0.0063896179199218,0.0095367431640625,0.0095367431640625,0.0081062316894531,0.003814697265625,0.01068115234375,0.003814697265625,0.0207901000976562,0.0,0.496,1.424,0.784,0.848,115.904,3.744,4.232,1067.012071609497,1067.012071609497,65.16,1
167,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060482404718351,0.0081062316894531,0.0088214874267578,0.0088214874267578,0.0061988830566406,0.0067710876464843,0.0060081481933593,0.0095367431640625,0.0095367431640625,0.0075340270996093,0.0,0.0113964080810546,0.0,0.0211238861083984,0.0,0.496,1.424,0.0,0.496,113.256,3.744,4.232,0.0,0.0,10.488,1
168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00639009003592,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0041483333275753,0.0050067901611328,0.0065326690673828,0.0166893005371093,0.0166893005371093,0.0088214874267578,0.0,0.0113487243652343,0.0,0.0294685363769531,0.0,0.496,1.424,0.0,0.0,120.304,8.264,7.736,0.0,0.0,3400.08,1
