time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061953421866539,0.0083446502685546,0.0044528175802791,0.0,0.0,0.0054836273193359,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,122.384,0.0,0.0,0.0,0.009775161743164,0.009775161743164,495.184,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061194101969401,0.0081062316894531,0.004434585571289,0.0,0.0,0.0047206878662109,0.0,0.0,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,38.92,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060992454414937,0.0083446502685546,0.005960464477539,0.0070095062255859,0.0100135803222656,0.005960464477539,0.00762939453125,0.0100135803222656,0.0102519989013671,0.0073909759521484,0.0073909759521484,0.00762939453125,0.0116825103759765,0.0217914581298828,0,0.496,1.36,0.848,0.848,113.256,3.744,4.232,0.0,0.009775161743164,0.009775161743164,1.192,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059794430709003,0.0078678131103515,0.0057220458984375,0.0059127807617187,0.0045299530029296,0.0057220458984375,0.0126361846923828,0.0045299530029296,0.007486343383789,0.0081062316894531,0.0081062316894531,0.0126361846923828,0.0116348266601562,0.0223636627197265,0,0.496,1.36,0.848,0.848,113.256,3.744,4.232,0.0,0.0083446502685546,0.0083446502685546,1.192,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060129165649414,0.0083446502685546,0.0,0.0061511993408203,0.0,0.0,0.0,0.0,0.0086307525634765,0.0078678131103515,0.0078678131103515,0.0,0.0106096267700195,0.0242471694946289,0,0.496,1.36,0.0,0.0,112.0,8.264,7.736,0.0,0.0078678131103515,0.0078678131103515,0.0,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060653686523437,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0104904174804687,0.0104904174804687,0.0,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058734416961669,0.0076532363891601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0123977661132812,0.0123977661132812,0.0,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061893463134765,0.0081300735473632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0092983245849609,0.0092983245849609,0.0,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062581911608947,0.0085830688476562,0.0088214874267578,0.0059127807617187,0.0,0.0088214874267578,0.0,0.0,0.00762939453125,0.0119209289550781,0.0130653381347656,0.0,0.011301040649414,0.0217914581298828,0,1.344,2.208,0.0,0.0,113.256,3.744,4.232,0.0,0.0079870223999023,0.0094175338745117,1.192,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062119308395765,0.0083446502685546,0.0066757202148437,0.0057220458984375,0.0,0.0066757202148437,0.0,0.0,0.0071525573730468,0.0131130218505859,0.0131130218505859,0.0,0.0103950500488281,0.0197887420654296,0,0.496,1.36,0.0,0.0,113.256,3.744,4.232,0.0,0.0071525573730468,0.0071525573730468,1.192,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059533475050285,0.0078678131103515,0.00762939453125,0.0063657760620117,0.0,0.00762939453125,0.0,0.0,0.0083684921264648,0.013589859008789,0.013589859008789,0.0,0.0117778778076171,0.0299930572509765,0,0.496,1.36,0.0,0.0,113.256,8.264,7.736,0.0,0.009775161743164,0.009775161743164,1.192,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060856342315673,0.0083684921264648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0123977661132812,0.0123977661132812,0.0,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006115436553955,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006037950515747,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138282775878906,0.0138282775878906,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060009956359863,0.0081062316894531,0.0,0.0057220458984375,0.0,0.0,0.0,0.0,0.0073909759521484,0.0,0.0,0.0,0.0108718872070312,0.0208377838134765,0,0.0,1.36,0.0,0.0,112.0,3.744,4.232,0.0,1039.5078659057615,1039.5078659057615,0.0,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061407611144715,0.0083446502685546,0.0085830688476562,0.0058650970458984,0.0,0.0085830688476562,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0073909759521484,0.0,0.012063980102539,0.0225067138671875,1,0.496,2.352,0.0,0.0,113.256,3.744,4.232,0.0,0.0154972076416015,0.0154972076416015,1.192,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0067102736321048,0.0095367431640625,0.0042197429557715,0.0063180923461914,0.0,0.0052452087402343,0.0,0.0,0.0083446502685546,0.0101327896118164,0.0119447708129882,0.0,0.0105142593383789,0.0241279602050781,0,1.344,2.208,0.0,0.0,141.624,8.264,7.736,0.0,0.0123977661132812,0.0150680541992187,2381.464,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059924908538362,0.0078678131103515,0.0078678131103515,0.0,0.0,0.008249282836914,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,0.0104904174804687,0.0104904174804687,12.64,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063228135061736,0.0085830688476562,0.0051189871395335,0.0,0.0,0.006866455078125,0.0,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,119.088,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,127.944,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059676170349121,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061142444610595,0.0081062316894531,0.0,0.0066757202148437,0.0,0.0,0.0,0.0,0.0080108642578125,0.00762939453125,0.00762939453125,0.0,0.0102519989013671,0.0190258026123046,0,0.496,1.36,0.0,0.0,112.0,3.744,4.232,0.0,0.0081062316894531,0.0081062316894531,0.0,1
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060589159306009,0.0081062316894531,0.0073909759521484,0.0058174133300781,0.0,0.0073909759521484,0.0,0.0,0.0073432922363281,0.0109672546386718,0.0109672546386718,0.0,0.0100612640380859,0.0185012817382812,0,0.496,1.36,0.0,0.0,116.392,3.744,4.232,0.0,0.0083446502685546,0.0083446502685546,4.104,1
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006270526077947,0.0085353851318359,0.0073909759521484,0.0062227249145507,0.0,0.0086784362792968,0.0,0.0,0.0078916549682617,0.0,0.0,0.0,0.0105857849121093,0.0246763229370117,0,0.0,1.36,0.0,0.0,123.64,8.264,7.736,0.0,1039.4446849822998,1039.4446849822998,11.032,1
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006299887971925,0.0081062316894531,0.0040956905909946,0.0,0.0,0.0055313110351562,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,1,0.496,2.352,0.0,0.0,123.64,0.0,0.0,0.0,0.0123977661132812,0.0123977661132812,310.56,1
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061490642490671,0.0081062316894531,0.0057816505432128,0.0,0.0,0.0078201293945312,0.0,0.0,0.0,0.0073909759521484,0.0096797943115234,0.0,0.0,0.0,0,1.344,2.208,0.0,0.0,113.256,0.0,0.0,0.0,0.0115633010864257,0.0133752822875976,7.696,1
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062549114227294,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0,1
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059390068054199,0.0078916549682617,0.0,0.0057697296142578,0.0,0.0,0.0,0.0,0.0073432922363281,0.0,0.0,0.0,0.0108718872070312,0.0197410583496093,0,0.0,1.36,0.0,0.0,112.0,3.744,4.232,0.0,7087.528467178345,7087.528467178345,0.0,1
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.005958080291748,0.0078916549682617,0.0,0.0070095062255859,0.0,0.0,0.0,0.0,0.0100135803222656,0.0,0.0,0.0,0.0109672546386718,0.0208854675292968,1,0.0,2.352,0.0,0.0,112.0,3.744,4.232,0.0,6079.0205001831055,6079.0205001831055,0.0,1
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063305470480847,0.0083446502685546,0.0044107437133789,0.006103515625,0.0073432922363281,0.004887580871582,0.0076558854844835,0.0094890594482421,0.0083684921264648,0.0,0.0,0.010538101196289,0.0104904174804687,0.0226974487304687,0,0.0,1.84,11.728,26.336,117.192,8.264,7.736,100.0,0.0,0.0,18.224,1
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0066990945853439,0.0085830688476562,0.0039431602443189,0.0,0.0,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,4.336,0.0,0.0,137.104,0.0,0.0,0.0,4031.022548675537,4031.022548675537,2410.152,1
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0070368889534827,0.0095367431640625,0.0038762814004482,0.0,0.0,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,118.448,0.0,0.0,0.0,0.0,0.0,21699.464,1
