time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_p90_dl_ms,f1_u_throughput_ul_kbps,f1_u_throughput_dl_kbps,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,F-node
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0063192844390869,0.0073909759521484,0.0073909759521484,0.0063657760620117,0.0086069107055664,0.0,0.0,0.0,0.0,112.696,1.192,0.0,0.0,5.6,5.76,8.264,7.736,25.0,25.0,0.0123262405395507,0.0269651412963867,1041.2126541137695,746.5057373046875,-423.9459037780762,-747.6333777109782,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0068180596650536,0.0057220458984375,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.0,113.256,1.192,0.0,0.0,5.104,5.76,0.0,0.0,0.0,25.0,0.0,0.0,1041.7706966400146,747.3162810007731,-424.66115951538086,-747.0079263051351,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0066876411437988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,5.6,5.76,0.0,0.0,25.0,25.0,0.0,0.0,1040.7589435577393,747.1649646759033,-424.7546195983887,-747.3208904266357,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0069737434387207,0.0,0.0,0.006103515625,0.0075340270996093,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,4.752,4.48,3.744,4.232,33.33333333333333,0.0,0.0127315521240234,0.0249862670898437,988.0700588226318,663.49196434021,-871.4658975601196,-961.0100984573364,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0085830688476562,0.00679612159729,0.0,0.0,0.0062942504882812,0.0088214874267578,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,5.6,5.76,7.488,8.464,25.0,25.0,0.0124931335449218,0.0310182571411132,1037.82639503479,746.6774781545004,-426.3192653656006,-746.657927831014,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0083684921264648,0.0065827369689941,0.0,0.0,0.0061988830566406,0.0084400177001953,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,4.624,4.592,12.536,11.44,33.33333333333333,33.33333333333333,0.0114142894744873,0.0295639038085937,848.2120752334595,586.2113237380981,-397.0365285873413,-697.0022916793823,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0067860332887564,0.0100135803222656,0.0100135803222656,0.0063180923461914,0.0081777572631835,0.005960464477539,0.0143051147460937,0.0143051147460937,0.005960464477539,113.256,1.192,0.848,0.848,2.32,2.448,8.264,7.736,33.33333333333333,33.33333333333333,0.010991096496582,0.0271320343017578,1053.0767679214478,991.16051197052,-375.4432201385498,-585.0179195404053,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0062261647845975,0.0047683715820312,0.0047683715820312,0.0,0.0,0.0119209289550781,0.0061988830566406,0.0061988830566406,0.0119209289550781,113.256,1.192,0.848,0.848,5.6,5.76,0.0,0.0,25.0,25.0,0.0,0.0,1037.1876239776611,747.039000193278,-427.8165817260742,-746.9850381215414,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0083684921264648,0.0061357021331787,0.0045299530029296,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,112.696,1.192,0.0,0.0,5.6,5.76,0.0,0.0,25.0,25.0,0.0,0.0,1032.286787033081,740.2827739715576,-429.6041965484619,-747.6627826690674,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0088453292846679,0.0067126750946044,0.0,0.0,0.0065803527832031,0.0084877014160156,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,5.6,5.76,3.744,4.232,25.0,25.0,0.0114917755126953,0.022125244140625,1051.2038230895996,746.98805809021,-409.4703197479248,-733.6627642313639,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0083684921264648,0.0067341327667236,0.0,0.0,0.006866455078125,0.0091314315795898,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,5.6,5.76,7.488,8.464,25.0,25.0,0.0115871429443359,0.0307798385620117,1050.8461952209473,747.5995222727457,-414.3687248229981,-747.2981611887614,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0088214874267578,0.006793737411499,0.0,0.0,0.0062306722005208,0.0085830688476562,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,5.104,5.76,12.008,11.968,0.0,25.0,0.0120321909586588,0.0288963317871093,1048.8568782806396,746.7401822408041,-415.37585258483887,-747.6785182952881,0
