time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,a1_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061360164661312,0.0081062316894531,0.0119209289550781,0.0119209289550781,0.0041085620259129,0.0,0.0051498413085937,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,458.76,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062143031637466,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0042915344238281,0.0,0.0042915344238281,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060367584228515,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.011444091796875,0.0217914581298828,0.0,0.496,1.36,0.0,0.0,0.0,112.0,3.744,4.232,0.0,0.007486343383789,0.0102996826171875,0.0,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062834453112973,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0040158629417419,0.0,0.0042915344238281,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.0102043151855468,0.0188350677490234,0.0,0.496,1.36,0.0,0.0,0.0,127.576,3.744,4.232,0.0,0.0058650970458984,0.0076770782470703,729.952,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0065883787551728,0.0090360641479492,0.0064373016357421,0.0064373016357421,0.0039627627720908,0.005960464477539,0.0047683715820312,0.005960464477539,0.0057220458984375,0.0057220458984375,0.0090599060058593,0.0090599060058593,0.0101327896118164,0.0235795974731445,0.0,0.496,1.424,0.0,0.848,0.848,122.384,8.264,7.736,0.0,0.0060558319091796,0.0083446502685546,5568.016,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0065672397613525,0.0090599060058593,0.0078678131103515,0.0078678131103515,0.0039208680391311,0.0,0.0046014785766601,0.0,0.0,0.0,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1380.816,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060197725817931,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0050067901611328,0.0,0.0050067901611328,0.0,0.0,0.0,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0,0.496,1.392,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062226062983422,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0073909759521484,0.0,0.0073909759521484,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061882604466806,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0055432319641113,0.00762939453125,0.0075340270996093,0.00762939453125,0.0042915344238281,0.0042915344238281,0.0128746032714843,0.0128746032714843,0.01068115234375,0.0204086303710937,0.0,0.496,1.424,0.0,0.848,0.848,118.448,3.744,4.232,0.0,0.0064373016357421,0.0076770782470703,32.288,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061392784118652,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0039229646397097,0.0,0.0045299530029296,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.0102122624715169,0.0180006027221679,0.0,0.496,1.36,0.0,0.0,0.0,131.056,4.272,3.704,0.0,0.0059008598327636,0.0062942504882812,2321.112,0
