time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061729166767384,0.0080823898315429,0.0053133283342633,0.0,0.0060558319091796,0.0069141387939453,0.0069141387939453,0.0,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.448,0.0,0.0,36.6,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060790806860473,0.0083446502685546,0.005960464477539,0.0,0.005960464477539,0.0061988830566406,0.0061988830566406,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061225891113281,0.0085830688476562,0.0,0.0,0.0,0.0066757202148437,0.0066757202148437,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062596797943115,0.0085830688476562,0.0,0.0073909759521484,0.0,0.0066757202148437,0.0066757202148437,0.0087261199951171,0.0078678131103515,0.0078678131103515,0.0117301940917968,0.02288818359375,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061023235321044,0.0081300735473632,0.0,0.0062465667724609,0.0,0.0071525573730468,0.0071525573730468,0.0079631805419921,0.0092983245849609,0.0092983245849609,0.011301040649414,0.0205516815185546,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006105899810791,0.0085830688476562,0.0,0.0060558319091796,0.0,0.0054836273193359,0.0054836273193359,0.0086307525634765,0.0085830688476562,0.0085830688476562,0.0110864639282226,0.0270843505859375,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059858036501971,0.0081062316894531,0.0072206769670758,0.0,0.009012222290039,0.0071525573730468,0.0071525573730468,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.472,0.0,0.0,31.352,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060850114964727,0.0081062316894531,0.0045299530029296,0.0,0.0045299530029296,0.0073909759521484,0.0073909759521484,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.00604705430975,0.0081062316894531,0.0081062316894531,0.0,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0058615207672119,0.0081062316894531,0.0,0.0065326690673828,0.0,0.0073909759521484,0.0073909759521484,0.0085353851318359,0.0073909759521484,0.0073909759521484,0.010538101196289,0.0192165374755859,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
