time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059248796149865,0.00762939453125,0.0085830688476562,0.0085830688476562,0.0121593475341796,0.0121593475341796,0.006866455078125,0.0,0.0,0.0101566314697265,0.0,0.0,0.0111579895019531,0.0211238861083984,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.0071525573730468,0.0071525573730468,1.192,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058193111894142,0.00762939453125,0.0073909759521484,0.0073909759521484,0.0121593475341796,0.0121593475341796,0.0060558319091796,0.0,0.0,0.0084400177001953,0.0,0.0,0.0113487243652343,0.028085708618164,0.496,1.36,0.0,0.0,0.0,7.736,8.264,113.256,0.0045299530029296,0.0045299530029296,1.192,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061778461231904,0.0085115432739257,0.0066757202148437,0.0066757202148437,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,128.832,0.003960074448004,0.0047683715820312,2124.648,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061103613069742,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0109672546386718,0.0109672546386718,0.0063419342041015,0.0,0.0,0.0081539154052734,0.0,0.0,0.0117301940917968,0.021982192993164,0.496,1.36,0.0,0.0,0.0,4.232,3.744,120.032,0.0043307678608954,0.0055313110351562,716.824,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061134793865146,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0123977661132812,0.0123977661132812,0.0063419342041015,0.0,0.0,0.008249282836914,0.0,0.0,0.0115871429443359,0.0222206115722656,0.496,1.36,0.0,0.0,0.0,4.232,3.744,117.192,0.004037518367589,0.0048637390136718,1146.056,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060684052272815,0.0081062316894531,0.011444091796875,0.011444091796875,0.0081062316894531,0.0081062316894531,0.0069459279378255,0.0,0.0,0.0092983245849609,0.0,0.0,0.0118573506673177,0.0299930572509765,0.496,1.36,0.0,0.0,0.0,11.968,12.008,115.032,0.0052452087402343,0.0065326690673828,16.568,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060707775514517,0.0081062316894531,0.005960464477539,0.005960464477539,0.013589859008789,0.013589859008789,0.0059127807617187,0.0,0.0,0.007486343383789,0.0,0.0,0.0111103057861328,0.0214576721191406,0.496,1.36,0.0,0.0,0.0,4.232,3.744,115.24,0.0061988830566406,0.0061988830566406,2.952,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065600517952796,0.0090599060058593,0.0071525573730468,0.0071525573730468,0.0104904174804687,0.0104904174804687,0.0061273574829101,0.0,0.0,0.0086307525634765,0.0,0.0,0.0111103057861328,0.026869773864746,0.496,1.36,0.0,0.0,0.0,7.736,8.264,118.448,0.0040642186707141,0.0048398971557617,4153.744,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060206592673122,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,116.064,0.0061988830566406,0.0077247619628906,3.712,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060945007931533,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0121593475341796,0.0121593475341796,0.0066280364990234,0.0,0.0,0.0086307525634765,0.0,0.0,0.0110626220703125,0.0204086303710937,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.00762939453125,0.00762939453125,1.192,0
