time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060343742370605,0.0081300735473632,0.009775161743164,0.009775161743164,0.0045299530029296,0.0045299530029296,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0,0.496,1.36,0.848,0.848,0.0,0.0,112.0,0.0,0.0069141387939453,0.0069141387939453,0.0,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062596797943115,0.0085830688476562,0.0045299530029296,0.0045299530029296,0.0138282775878906,0.0138282775878906,0.0,0.0,0.0,0.0057220458984375,0.0057220458984375,0.0,0.0,0.0,0,0.496,1.36,0.848,0.848,0.0,0.0,112.0,0.0,0.0107288360595703,0.0107288360595703,0.0,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061357021331787,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0078678131103515,0.0078678131103515,0.0,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061573673836627,0.0081062316894531,0.0,0.0,0.0,0.0,0.0085830688476562,0.0091075897216796,0.0085830688476562,0.0061988830566406,0.0061988830566406,0.0121116638183593,0.0120162963867187,0.0225067138671875,0,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,0.0061988830566406,0.0061988830566406,1.192,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061787183011942,0.0083446502685546,0.0,0.0,0.0,0.0,0.0045299530029296,0.0060081481933593,0.0045299530029296,0.0088214874267578,0.0088214874267578,0.0078201293945312,0.0111103057861328,0.0209331512451171,0,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0,0.0061988830566406,0.0061988830566406,1.192,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060619694171565,0.008559226989746,0.0,0.0,0.0,0.0,0.0042915344238281,0.0061273574829101,0.0047206878662109,0.0100135803222656,0.0100135803222656,0.0087738037109375,0.0104188919067382,0.0258207321166992,0,0.496,1.36,0.0,0.0,7.736,8.264,118.448,0.0,0.0123977661132812,0.0123977661132812,17.848,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064523474684039,0.0090599060058593,0.0,0.0,0.0,0.0,0.0049173831939697,0.0,0.0054836273193359,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0,0.496,1.424,0.0,0.0,0.0,0.0,126.544,0.0,0.0078678131103515,0.0078678131103515,70.72,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060672190651964,0.0078678131103515,0.0,0.0,0.0,0.0,0.0054652874286358,0.0,0.0063419342041015,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0,0.496,1.424,0.0,0.0,0.0,0.0,114.408,0.0,0.0088214874267578,0.0088214874267578,30.008,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060856342315673,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0,0.496,1.424,0.0,0.0,0.0,0.0,112.0,0.0,0.0061988830566406,0.0061988830566406,0.0,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059759616851806,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.006103515625,0.0,0.0140666961669921,0.0140666961669921,0.0078201293945312,0.0124454498291015,0.0237941741943359,0,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0081062316894531,0.0081062316894531,0.0,0
